iter	RMSE
0	12.13962895
1	11.76226962
2	11.44501593
3	11.11924221
4	10.83007617
5	10.52914256
6	10.25166678
7	10.11008824
8	9.803112015
9	9.599924245
10	9.428929328
11	9.352227518
12	9.186752161
13	8.949626246
14	8.707804585
15	8.523857272
16	8.290872115
17	7.972210591
18	7.831505385
19	7.672576124
20	7.516241594
21	7.326510498
22	7.281277415
23	7.186528869
24	7.101387988
25	6.975853819
26	6.854006262
27	6.648863825
28	6.475275937
29	6.373962595
30	6.305153109
31	6.24625653
32	6.139756106
33	6.044578188
34	5.947971706
35	5.830756008
36	5.809535974
37	5.789677581
38	5.689406185
39	5.585084513
40	5.568392094
41	5.493823222
42	5.44817735
43	5.362878858
44	5.322729463
45	5.257167873
46	5.19980578
47	5.12636817
48	5.08483717
49	5.004854997
50	4.979184253
51	4.930951459
52	4.838366298
53	4.763816942
54	4.730958557
55	4.682841561
56	4.605809884
57	4.58563735
58	4.517319303
59	4.468124133
60	4.411861658
61	4.350814167
62	4.335326993
63	4.319859798
64	4.248938264
65	4.190439482
66	4.138394709
67	4.121746849
68	4.105710704
69	4.078545274
70	4.031565931
71	3.976399894
72	3.920724187
73	3.828906394
74	3.753108429
75	3.700704126
76	3.64882922
