iter	Passed	Remaining
0	0	19
1	0	14
2	0	15
3	0	14
4	1	20
5	1	19
6	1	18
7	1	18
8	1	17
9	1	17
10	2	16
11	2	15
12	2	15
13	2	14
14	2	14
15	2	14
16	2	14
17	3	13
18	3	13
19	3	13
20	3	12
21	3	12
22	3	12
23	3	12
24	4	12
25	4	11
26	4	11
27	4	11
28	4	11
29	4	11
30	4	11
31	5	10
32	5	10
33	5	10
34	5	10
35	5	10
36	5	9
37	5	9
38	6	9
39	6	9
40	6	9
41	7	10
42	7	9
43	7	9
44	7	9
45	7	9
46	8	9
47	8	9
48	8	9
49	8	8
50	9	8
51	9	8
52	9	8
53	9	8
54	9	8
55	9	7
56	10	7
57	10	7
58	10	7
59	10	7
60	10	6
61	11	6
62	11	6
63	11	6
64	11	6
65	11	5
66	11	5
67	11	5
68	12	5
69	12	5
70	12	5
71	12	4
72	12	4
73	13	4
74	13	4
75	13	4
76	13	4
