Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied
Giannis Antetokounmpo,PF/C,MIL,11100,56.44,22,30,76.92,51.3,1,91.0,26.6,57.07,80,199,2,0,60.0,vs WAS,-10.5,-440,227.5,119.0
Victor Wembanyama,C,SAS,10900,53.48,19,30,61.85,43.06,1,89.0,8.4,52.43,218,153,0,0,54.3,@DAL,4.5,142,223.5,109.5
Cade Cunningham,PG,DET,9900,52.1,24,30,62.46,44.01,1,89.0,26.4,50.29,62,175,9,0,51.1,@CHI,-3.5,-155,236.5,120.0
Trae Young,PG,ATL,9800,42.93,1,30,59.19,34.34,1,90.0,5.6,45.48,258,123,-3,0,48.3,vs TOR,-5.5,-225,237.5,121.5
Anthony Davis,PF/C,DAL,9700,50.04,20,30,67.85,29.37,1,90.0,26.5,50.39,62,156,7,0,51.6,vs SAS,-4.5,-170,223.5,114.0
Devin Booker,PG/SG,PHX,9600,44.89,8,30,52.94,30.75,1,89.0,17.5,46.07,79,135,0,0,43.6,vs SAC,-3.5,-170,228.5,116.0
LaMelo Ball,PG,CHA,9500,45.01,18,30,50.6,25.93,1,87.0,4.5,43.58,294,112,1,0,45.8,vs BKN,-5.5,-205,228.5,117.0
Ja Morant,PG,MEM,9400,46.75,14,30,54.81,33.72,1,88.0,2.7,44.32,508,120,0,0,41.0,vs NOP,-3.5,-175,236.5,120.0
Donovan Mitchell,PG/SG,CLE,9300,45.75,8,30,63.08,31.02,1,87.0,5.1,44.14,279,119,5,0,41.6,@NYK,-1.5,-122,229.5,115.5
Josh Giddey,PG,CHI,9200,45.87,19,30,65.59,40.23,1,86.0,3.7,44.52,388,126,2,0,39.5,vs DET,3.5,130,236.5,116.5
