Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Nikola Jokic,C,DEN,11700,60.91,21,30,73.18,46.23,1,92.0,33.0,61.2,69,215,3,0,60.8,vs PHX,-12.5,-800,233.5,123.0,1.3719512195121952,0.8048780487804879,0.0,56.25,41.0,0.0,0.0,1.048780487804878,0.6875,0.1219512195121951,0.1038371818079477,2.0,0.4,2.0,1.0
Shai Gilgeous-Alexander,PG,OKC,10700,56.52,14,30,66.88,40.09,1,92.0,37.7,54.68,51,200,8,0,67.1,@ATL,-8.5,-325,237.5,123.0,1.465307328605201,1.1463356973995271,0.0,67.125,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trae Young,PG,ATL,9700,41.42,1,30,58.23,39.99,1,90.0,9.5,45.18,148,132,0,0,36.8,vs OKC,8.5,260,237.5,114.5,1.0808823529411764,0.8970588235294117,0.0,36.75,34.0,6.375,0.17484143763213525,0.8970588235294117,0.43560606060606055,0.4411764705882353,0.23450688468886938,4.0,0.43303571428571425,4.0,0.0
Ja Morant,PG,MEM,9300,39.81,27,30,53.04,30.58,1,88.0,13.3,42.82,95,121,2,0,33.6,vs IND,-2.5,-135,240.5,121.5,1.2801724137931034,1.1669278996865204,0.0,33.625,25.5,0.0,0.0,1.1543887147335423,0.4222222222222222,0.4866771159874608,0.1722468438904339,2.5,0.18421052631578946,3.5,1.0
Devin Booker,PG/SG,PHX,9200,43.6,30,30,52.12,30.72,1,89.0,13.6,44.27,95,127,3,0,41.3,@DEN,12.5,550,233.5,110.5,1.130952380952381,1.0555555555555556,0.0,36.25,32.0,1.0,0.0242424242424242,0.9305555555555556,0.475,0.373015873015873,0.19030568496056172,2.5,0.17857142857142855,2.5,0.5
LaMelo Ball,PG,CHA,9100,41.5,4,30,49.77,25.39,1,87.0,10.9,43.27,112,114,0,0,35.0,@PHI,4.5,160,236.5,116.0,1.0294117647058822,0.9117647058823528,0.0,35.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese Maxey,PG,PHI,9000,42.02,19,30,59.07,27.46,1,88.0,4.1,46.3,324,113,6,0,60.5,vs CHA,-4.5,-192,236.5,120.5,1.475609756097561,1.146341463414634,0.0,60.5,41.0,2.0,0.0330578512396694,0.902439024390244,0.2,0.3414634146341463,0.1468746076917387,2.0,0.4285714285714285,2.0,0.0
Josh Giddey,PG/SG,CHI,8900,47.33,20,30,65.18,39.35,1,86.0,11.7,42.28,118,134,4,0,42.8,@ORL,6.5,205,233.5,113.5,1.4224137931034482,1.2413793103448276,0.0,41.25,29.0,0.0,0.0,1.1724137931034482,0.1111111111111111,0.3793103448275862,0.1963989074989512,2.0,0.3636363636363636,6.0,1.0
Nikola Vucevic,C,CHI,8600,39.95,9,30,52.49,31.23,1,89.0,11.2,40.5,102,117,2,0,53.5,@ORL,6.5,205,233.5,113.5,1.5757575757575757,0.9393939393939394,0.0,52.0,33.0,1.5,0.0288461538461538,1.0303030303030305,0.3333333333333333,0.0606060606060606,1.0,1.0,0.0,2.0,1.0
Jalen Johnson,SF/PF,ATL,8500,0.0,20,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,34.6,vs OKC,8.5,260,237.5,114.5,1.107967032967033,0.7791208791208791,0.0,34.625,30.5,2.125,0.0469613259668508,0.8945054945054944,0.0714285714285714,0.239010989010989,0.10659800961545335,1.5,0.35,4.0,1.0
