# Top Lineup Score: 415.75
# Cash Score: 297.50
# Top 3 Lineups:
# Rank 1: 415.75 - C Draymond Green F Aaron Gordon G Stephen Curry PF Pascal Siakam PG Ajay Mitchell SF Aaron Wiggins SG Bennedict Mathurin UTIL Jamal Murray
# Rank 2: 404.75 - C Jaylin Williams F Pascal Siakam G Stephen Curry PF Jarace Walker PG Shai Gilgeous-Alexander SF Aaron Wiggins SG Bennedict Mathurin UTIL Aaron Gordon
# Rank 3: 403.75 - C Draymond Green F Aaron Gordon G Ajay Mitchell PF Aaron Wiggins PG Shai Gilgeous-Alexander SF Bennedict Mathurin SG Luguentz Dort UTIL Stephen Curry


Player Name,Actual Score,Ownership,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Nikola Jokic,60.75,62.94,1.3719512195121952,0.8048780487804879,0.0,56.25,41.0,0.0,0.0,1.048780487804878,0.6875,0.1219512195121951,0.1038371818079477,2.0,0.4,2.0,1.0
Shai Gilgeous-Alexander,78.5,43.49,1.7444444444444445,1.3777777777777778,0.0,78.5,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Curry,70.0,20.04,1.891891891891892,1.3783783783783785,0.0,70.0,37.0,2.0,0.0285714285714285,1.108108108108108,0.6,0.3783783783783784,0.2701005376235703,4.0,0.7857142857142857,2.0,1.0
Pascal Siakam,61.25,18.24,1.3579545454545454,0.8409090909090909,0.0,59.75,44.0,9.5,0.1589958158995816,1.2045454545454546,0.15,0.3409090909090909,0.1785393431902396,1.0,0.3333333333333333,4.0,1.0
Jalen Williams,0.0,,,,,,,,,,,,,,,,
Chet Holmgren,37.0,32.27,0.9102564102564102,0.5128205128205128,0.0,35.5,39.0,4.75,0.1338028169014084,0.8717948717948718,0.6666666666666666,0.2307692307692307,0.1271550776079775,4.0,0.5555555555555556,5.0,1.0
Jimmy Butler,43.25,40.32,,,,,,,,,,,,,,,
Jamal Murray,50.25,39.87,1.21875,0.95,0.0,48.75,40.0,3.0,0.0615384615384615,0.675,0.375,0.25,0.1244263738269968,3.0,0.1,4.0,0.0
Andrew Nembhard,10.25,33.64,0.6029411764705882,0.5882352941176471,0.0,10.25,17.0,0.0,0.0,0.7058823529411765,0.4,0.2352941176470588,0.5328183015946412,2.0,0.0,3.0,0.0
Isaiah Hartenstein,24.5,24.71,0.6621621621621622,0.2432432432432432,0.0,24.5,37.0,5.0,0.2040816326530612,0.6216216216216216,0.0,0.054054054054054,1.0,1.0,0.5,6.0,1.0
Draymond Green,37.5,15.53,1.1029411764705883,0.6470588235294118,0.0,37.5,34.0,2.5,0.0666666666666666,0.5882352941176471,0.75,0.0294117647058823,0.0,2.0,0.0,4.0,1.0
Bennedict Mathurin,52.25,47.9,1.1277777777777778,0.9111111111111112,0.0,50.75,45.0,8.75,0.1724137931034483,1.1333333333333333,0.4166666666666667,0.4888888888888889,0.1698352484676206,4.0,0.5909090909090909,2.0,1.0
Cameron Johnson,13.75,16.77,0.4296875,0.25,0.0,13.75,32.0,2.75,0.2,0.34375,1.0,0.03125,0.0,3.0,0.0,2.0,1.0
Brandin Podziemski,18.75,20.52,0.5514705882352942,0.3823529411764705,0.0,18.75,34.0,1.25,0.0666666666666666,0.4705882352941176,0.5714285714285714,0.0588235294117647,1.0,2.0,0.0,4.0,0.0
Jonathan Kuminga,24.75,38.06,0.6875,0.5,0.0,24.75,36.0,1.5,0.0606060606060606,0.5555555555555556,0.4285714285714285,0.1111111111111111,0.0827481827359286,1.0,0.25,4.0,1.0
Aaron Gordon,69.0,19.81,1.7692307692307692,1.3846153846153846,0.0,69.0,39.0,8.75,0.1268115942028985,0.9743589743589745,0.25,0.3076923076923077,0.1638027966185263,4.0,0.3333333333333333,2.0,1.0
Aaron Nesmith,13.75,15.02,0.5092592592592593,0.2222222222222222,0.0,13.75,27.0,3.25,0.2363636363636363,0.5925925925925926,0.3333333333333333,0.037037037037037,0.0,4.0,1.0,3.0,0.0
Isaiah Jackson,0.25,3.64,0.03125,0.25,0.0,0.25,8.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Christian Braun,13.0,33.56,0.3421052631578947,0.2631578947368421,0.0,13.0,38.0,4.5,0.3461538461538461,0.3157894736842105,0.3333333333333333,0.0263157894736842,0.0,4.0,1.0,2.0,1.0
Obi Toppin,34.25,7.4,0.85625,0.6,0.0,34.25,40.0,2.0,0.0583941605839416,0.675,0.8,0.175,0.1274517320607163,4.0,0.4285714285714285,4.0,0.0
Buddy Hield,18.5,3.7,0.8043478260869565,0.6086956521739131,0.0,18.5,23.0,0.0,0.0,0.6521739130434783,0.8571428571428571,0.0434782608695652,0.0,1.0,0.0,3.0,0.0
T.J. McConnell,0.0,,,,,,,,,,,,,,,,
Al Horford,24.25,2.05,0.8362068965517241,0.5862068965517241,0.0,24.25,29.0,0.0,0.0,0.4827586206896552,0.3333333333333333,0.0344827586206896,0.0,2.0,0.0,5.0,0.0
Jonas Valanciunas,16.75,1.75,1.3958333333333333,0.8333333333333334,0.0,16.75,12.0,3.25,0.1940298507462686,0.75,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Cason Wallace,0.0,0.22,,,,,,,,,,,,,,,
Alex Caruso,0.0,,,,,,,,,,,,,,,,
Luguentz Dort,21.0,43.29,0.4883720930232558,0.2790697674418604,0.0,21.0,43.0,2.5,0.119047619047619,0.4186046511627907,1.0,0.0697674418604651,0.0795544948289578,3.0,0.0,4.0,0.0
Aaron Wiggins,38.25,74.39,1.0625,0.6666666666666666,0.0,38.25,36.0,0.0,0.0,0.7777777777777778,0.6666666666666666,0.1666666666666666,0.3402823908405212,3.0,0.0,6.0,0.0
Tim Hardaway Jr.,15.5,2.98,0.7045454545454546,0.4545454545454545,0.0,15.5,22.0,1.25,0.0806451612903225,0.4545454545454545,0.75,0.0,0.0,0.0,0.0,2.0,0.0
Bruce Brown,16.75,4.74,0.881578947368421,0.3684210526315789,0.0,16.75,19.0,3.75,0.2238805970149253,0.4736842105263157,0.0,0.0526315789473684,0.0,4.0,1.0,2.0,0.0
Moses Moody,0.0,,,,,,,,,,,,,,,,
Peyton Watson,7.0,1.84,0.4375,0.3125,0.0,7.0,16.0,0.0,0.0,0.375,0.0,0.125,1.0,2.0,0.0,2.0,0.0
Ajay Mitchell,37.25,52.0,0.9802631578947368,0.8157894736842105,0.0,37.25,38.0,3.5,0.0939597315436241,0.7894736842105263,0.2222222222222222,0.3421052631578947,0.1532121298388502,4.0,0.3846153846153846,5.0,0.0
Julian Strawther,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Payton II,17.0,4.05,1.4166666666666667,0.5833333333333334,0.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Joe,0.0,,,,,,,,,,,,,,,,
Jay Huff,13.25,14.02,1.1041666666666667,0.4166666666666667,0.0,13.25,12.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,2.0,0.0
Trayce Jackson-Davis,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Sheppard,36.5,8.22,0.935897435897436,0.4871794871794871,0.0,36.5,39.0,0.0,0.0,0.5384615384615384,0.8,0.0769230769230769,0.1563721657544957,4.0,0.6666666666666666,6.0,0.0
Jaylin Williams,10.0,23.93,0.6666666666666666,0.6,0.0,10.0,15.0,1.5,0.15,0.4666666666666667,1.0,0.0,0.0,0.0,0.0,4.0,0.0
DaRon Holmes II,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
