# Top Lineup Score: 367.75
# Cash Score: 266.50
# Top 3 Lineups:
# Rank 1: 367.75 - C Alexandre Sarr F Aaron Wiggins G Quentin Grimes PF Kyshawn George PG Tyrese Maxey SF Kon Knueppel SG VJ Edgecombe UTIL Jaime Jaquez Jr.
# Rank 2: 358.25 - C Alexandre Sarr F Aaron Wiggins G Russell Westbrook PF Kyshawn George PG Tyrese Maxey SF Jaime Jaquez Jr. SG VJ Edgecombe UTIL Ivica Zubac
# Rank 3: 358.0 - C Alexandre Sarr F Jaime Jaquez Jr. G LaMelo Ball PF Kyshawn George PG Russell Westbrook SF VJ Edgecombe SG Mikal Bridges UTIL Ryan Rollins


Player Name,Actual Score,Ownership,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Giannis Antetokounmpo,61.5,21.44,1.8636363636363635,1.4545454545454546,0.0,61.5,33.0,3.5,0.056910569105691,1.3636363636363635,0.125,0.3939393939393939,0.131849870769664,4.0,0.4615384615384615,2.0,1.0
Shai Gilgeous-Alexander,56.25,11.55,1.5625,1.0,0.0,56.25,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domantas Sabonis,40.0,2.13,1.1,0.5142857142857142,0.0,38.5,35.0,1.75,0.0454545454545454,1.0285714285714285,0.2857142857142857,0.0857142857142857,0.2890173410404625,1.0,0.0,2.0,1.0
Stephen Curry,37.5,3.75,1.4423076923076923,1.1153846153846154,0.0,37.5,26.0,3.5,0.0933333333333333,0.8461538461538461,0.75,0.3076923076923077,0.1158241782096872,3.0,0.125,4.0,0.0
Karl-Anthony Towns,27.0,12.15,0.7714285714285715,0.3428571428571428,0.0,27.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Harden,29.5,22.52,0.921875,0.75,0.0,29.5,32.0,0.0,0.0,0.875,0.5,0.40625,0.1156991873943035,1.0,0.0,2.0,1.0
Jalen Brunson,49.0,25.18,1.4,1.1714285714285717,0.0,49.0,35.0,7.25,0.1479591836734693,1.0857142857142856,0.3636363636363636,0.4,0.1281760656675773,1.0,0.0714285714285714,3.0,1.0
Jalen Williams,0.0,,,,,,,,,,,,,,,,
Chet Holmgren,0.0,0.12,,,,,,,,,,,,,,,
Jimmy Butler,35.75,2.6,,,,,,,,,,,,,,,
Kawhi Leonard,27.75,24.97,0.935483870967742,0.6451612903225806,0.0,29.0,31.0,5.0,0.1724137931034483,0.8387096774193549,0.3,0.2580645161290322,0.1593021215558397,2.0,0.25,3.0,1.0
DeMar DeRozan,28.75,1.34,0.8712121212121212,0.6666666666666666,0.0,28.75,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach LaVine,32.5,2.36,0.9285714285714286,0.8571428571428571,0.0,32.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivica Zubac,33.75,11.23,1.2916666666666667,0.75,0.0,31.0,24.0,0.0,0.0,1.1666666666666667,0.0,0.25,0.1894875444963363,3.0,0.0,2.0,1.0
Kevin Porter Jr.,0.0,,,,,,,,,,,,,,,,
Keegan Murray,0.0,,,,,,,,,,,,,,,,
Kyle Kuzma,11.75,0.15,0.5875,0.4,0.0,11.75,20.0,2.75,0.2340425531914893,0.75,0.3333333333333333,0.25,0.0929959104655594,1.0,0.4,3.0,0.0
Isaiah Hartenstein,29.0,19.7,1.0,0.2903225806451613,0.0,31.0,31.0,5.0,0.1612903225806451,0.7096774193548387,0.0,0.0,0.0,0.0,0.0,4.0,1.0
OG Anunoby,27.5,9.59,0.8088235294117647,0.4705882352941176,0.0,27.5,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Kuminga,18.25,8.51,0.7019230769230769,0.4615384615384615,0.0,18.25,26.0,0.0,0.0,0.7307692307692307,0.125,0.1153846153846153,0.4123711340206186,1.0,0.0,2.0,1.0
Mikal Bridges,51.75,6.72,1.2884615384615383,0.7692307692307693,0.0,50.25,39.0,3.75,0.0746268656716417,0.8205128205128205,0.5714285714285714,0.2051282051282051,0.1825464705813635,2.0,0.25,4.0,0.0
Josh Hart,17.5,1.89,0.6730769230769231,0.3461538461538461,0.0,17.5,26.0,1.25,0.0714285714285714,0.5,0.6,0.0,0.0,0.0,0.0,5.0,0.0
Myles Turner,26.0,1.9,0.8666666666666667,0.2666666666666666,0.0,26.0,30.0,0.0,0.0,0.6333333333333333,0.8,0.0666666666666666,1.0,4.0,1.0,2.0,1.0
Draymond Green,28.25,1.91,0.9112903225806452,0.3548387096774194,0.0,28.25,31.0,2.75,0.0973451327433628,0.3870967741935484,1.0,0.0,0.0,0.0,0.0,3.0,1.0
Brandin Podziemski,28.75,0.78,1.0648148148148149,0.6296296296296297,0.0,28.75,27.0,0.0,0.0,0.6296296296296297,0.6,0.037037037037037,0.0,3.0,0.0,3.0,0.0
Malik Monk,18.5,0.98,0.7115384615384616,0.5769230769230769,0.0,18.5,26.0,2.5,0.1351351351351351,0.5384615384615384,0.75,0.1538461538461538,0.0458243522231732,2.0,0.25,4.0,0.0
Dennis Schroder,19.75,5.8,0.6171875,0.40625,0.0,19.75,32.0,0.0,0.0,0.46875,0.75,0.09375,0.1451378809869376,3.0,0.0,2.0,1.0
Bobby Portis,16.0,0.54,1.0,0.5625,0.0,16.0,16.0,2.0,0.125,0.8125,0.5,0.0625,0.0,4.0,1.0,2.0,0.0
Buddy Hield,5.75,0.15,0.575,0.2,0.0,5.75,10.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,3.0,0.0
Ryan Rollins,42.5,9.66,1.6346153846153846,1.1923076923076923,0.0,42.5,26.0,2.0,0.0470588235294117,0.8076923076923077,0.0,0.3076923076923077,0.1681211216332679,2.0,0.25,3.0,0.0
John Collins,16.75,10.25,0.7282608695652174,0.3043478260869565,0.0,16.75,23.0,0.0,0.0,0.782608695652174,0.4,0.0869565217391304,1.0,2.0,0.5,2.0,0.0
Al Horford,8.5,0.11,0.4047619047619047,0.1428571428571428,0.0,8.5,21.0,0.0,0.0,0.4761904761904761,0.75,0.0476190476190476,0.0,4.0,1.0,4.0,0.0
Bradley Beal,0.0,0.0,,,,,,,,,,,,,,,
Ajay Mitchell,23.0,14.62,0.9583333333333334,0.9583333333333334,0.0,23.0,24.0,6.0,0.2608695652173913,0.8333333333333334,0.5,0.1666666666666666,0.068379317484827,3.0,0.25,4.0,0.0
Aaron Wiggins,43.0,21.45,1.2647058823529411,0.7941176470588235,0.0,43.0,34.0,2.0,0.0465116279069767,0.7941176470588235,0.75,0.0588235294117647,1.0,1.0,0.0,3.0,1.0
Mitchell Robinson,0.0,,,,,,,,,,,,,,,,
Luguentz Dort,24.75,1.61,0.65,0.4285714285714285,0.0,22.75,35.0,0.0,0.0,0.5428571428571428,1.0,0.1142857142857142,0.0746646167058726,1.0,0.0,3.0,1.0
Gary Trent Jr.,21.75,1.56,0.7016129032258065,0.4838709677419355,0.0,21.75,31.0,0.0,0.0,0.4516129032258064,0.6,0.064516129032258,1.0,1.0,0.0,2.0,1.0
Cason Wallace,15.75,12.4,0.5833333333333334,0.4814814814814814,0.0,15.75,27.0,1.25,0.0793650793650793,0.4444444444444444,0.5,0.037037037037037,0.0,1.0,0.0,4.0,1.0
Cole Anthony,24.0,10.79,1.0,0.5833333333333334,0.0,24.0,24.0,1.25,0.0520833333333333,0.5,1.0,0.0416666666666666,0.0,1.0,0.0,4.0,0.0
Moses Moody,18.25,0.66,0.8295454545454546,0.5909090909090909,0.0,18.25,22.0,2.75,0.1506849315068493,0.6363636363636364,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0
Russell Westbrook,36.25,11.64,1.2083333333333333,0.7333333333333333,0.0,36.25,30.0,1.25,0.0344827586206896,0.7666666666666667,0.6666666666666666,0.0666666666666666,1.0,1.0,0.5,4.0,1.0
Alex Caruso,21.5,5.98,0.8958333333333334,0.5,0.0,21.5,24.0,0.0,0.0,0.4583333333333333,1.0,0.0833333333333333,1.0,2.0,0.0,6.0,0.0
Miles McBride,0.0,0.01,,,,,,,,,,,,,,,
AJ Green,15.0,1.44,0.625,0.4166666666666667,0.0,15.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylin Williams,21.25,2.17,1.25,0.4705882352941176,0.0,21.25,17.0,3.25,0.1529411764705882,0.7647058823529411,1.0,0.0,0.0,0.0,0.0,4.0,0.0
Chris Paul,9.75,0.19,0.6964285714285714,0.2142857142857142,0.0,9.75,14.0,0.0,0.0,0.2142857142857142,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Quinten Post,27.0,0.08,1.08,0.56,0.0,27.0,25.0,2.25,0.0833333333333333,0.8,0.6,0.0,0.0,0.0,0.0,3.0,1.0
Nique Clifford,0.0,,,,,,,,,,,,,,,,
Keon Ellis,21.5,0.54,0.7962962962962963,0.4444444444444444,0.0,21.5,27.0,0.0,0.0,0.5555555555555556,0.5,0.074074074074074,1.0,2.0,0.0,3.0,0.0
Jordan Clarkson,12.75,1.28,0.75,0.7647058823529411,0.0,12.75,17.0,0.0,0.0,0.5882352941176471,0.3333333333333333,0.1176470588235294,1.0,2.0,0.0,5.0,0.0
Taurean Prince,10.0,0.87,0.4761904761904761,0.4761904761904761,0.0,10.0,21.0,0.0,0.0,0.3333333333333333,1.0,0.0476190476190476,0.0,2.0,0.0,3.0,0.0
Isaiah Joe,0.0,0.0,,,,,,,,,,,,,,,
Derrick Jones Jr.,7.5,1.71,0.3260869565217391,0.1739130434782608,0.0,7.5,23.0,0.0,0.0,0.3478260869565217,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Brook Lopez,7.0,1.83,0.3684210526315789,0.2105263157894736,0.0,7.0,19.0,0.0,0.0,0.5263157894736842,0.6666666666666666,0.1052631578947368,1.0,3.0,0.5,3.0,0.0
Guerschon Yabusele,0.0,0.01,,,,,,,,,,,,,,,
Will Richard,7.0,0.12,1.1666666666666667,1.0,0.0,7.0,6.0,1.5,0.2142857142857142,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Drew Eubanks,8.5,0.03,0.6538461538461539,0.0769230769230769,0.0,8.5,13.0,0.0,0.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Kris Dunn,9.5,5.25,0.3653846153846153,0.2692307692307692,0.0,9.5,26.0,2.5,0.2631578947368421,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Amir Coffey,11.0,0.01,0.7333333333333333,0.5333333333333333,0.0,11.0,15.0,3.0,0.2727272727272727,0.5333333333333333,1.0,0.2666666666666666,0.071469877990786,4.0,0.75,3.0,1.0
Trayce Jackson-Davis,0.0,0.05,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogdan Bogdanovic,3.25,5.63,0.3611111111111111,0.2222222222222222,0.0,3.25,9.0,0.0,0.0,0.6666666666666666,0.75,0.1111111111111111,0.0,4.0,1.0,1.0,1.0
Gary Payton II,2.0,0.11,0.4,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Kolek,9.75,0.06,0.8863636363636364,0.6363636363636364,0.0,9.75,11.0,2.0,0.2051282051282051,0.4545454545454545,1.0,0.0909090909090909,0.0,4.0,1.0,3.0,1.0
Ousmane Dieng,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Cardwell,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Batum,12.5,0.22,0.625,0.2,0.0,12.5,20.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Dario Saric,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gui Santos,-0.5,0.01,-0.1,0.2,0.0,-0.5,5.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Andre Jackson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brooks Barnhizer,3.25,0.01,0.4642857142857143,0.2857142857142857,0.0,3.25,7.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Chris Youngblood,1.5,0.01,0.5,0.3333333333333333,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Landry Shamet,24.75,0.49,0.825,0.6,0.0,24.75,30.0,3.25,0.1313131313131313,0.5666666666666667,0.8333333333333334,0.0666666666666666,1.0,1.0,0.0,7.0,0.0
Ariel Hukporti,6.75,0.23,0.5625,0.1666666666666666,0.0,6.75,12.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Isaac Jones,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Anthony Melton,0.0,,,,,,,,,,,,,,,,
Alex Toohey,0.0,,,,,,,,,,,,,,,,
Pat Spencer,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Jackson Rowe,0.0,,,,,,,,,,,,,,,,
Alex Antetokounmpo,0.0,0.01,,,,,,,,,,,,,,,
Mark Sears,0.0,0.01,,,,,,,,,,,,,,,
Thanasis Antetokounmpo,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jericho Sims,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pete Nance,0.0,,,,,,,,,,,,,,,,
Gary Harris,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Topic,0.0,,,,,,,,,,,,,,,,
Thomas Sorber,0.0,,,,,,,,,,,,,,,,
Kenrich Williams,0.0,,,,,,,,,,,,,,,,
Branden Carlson,3.25,0.0,0.8125,0.5,0.0,3.25,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Jordan Miller,0.0,,,,,,,,,,,,,,,,
Kobe Brown,2.75,0.0,0.4583333333333333,0.5,0.0,2.75,6.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Yanic Niederhauser,4.25,,,,,,,,,,,,,,,,
Cam Christie,4.5,,0.75,0.6666666666666666,0.0,4.5,6.0,0.0,0.0,0.6666666666666666,0.5,0.1666666666666666,0.0,4.0,1.0,1.0,1.0
Kobe Sanders,0.0,,,,,,,,,,,,,,,,
Jahmyl Telfort,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kevin McCullar Jr.,0.0,,,,,,,,,,,,,,,,
Trey Jemison,0.0,0.01,,,,,,,,,,,,,,,
Mohamed Diawara,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pacome Dadiet,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tosan Evbuomwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Stevens,0.0,0.0,,,,,,,,,,,,,,,
Daeqwon Plowden,0.0,,,,,,,,,,,,,,,,
