# Top Lineup Score: 336.25
# Cash Score: 257.50
# Top 3 Lineups:
# Rank 1: 336.25 - C Jusuf Nurkic F Miles Bridges G Cam Spencer PF Scottie Barnes PG Collin Sexton SF Kon Knueppel SG Quentin Grimes UTIL Josh Giddey
# Rank 1: 336.25 - C Jusuf Nurkic F Miles Bridges G Cam Spencer PF Scottie Barnes PG Collin Sexton SF Kon Knueppel SG Quentin Grimes UTIL Josh Giddey
# Rank 3: 335.0 - C Jusuf Nurkic F Kelly Oubre Jr. G Josh Giddey PF Scottie Barnes PG Quentin Grimes SF Cedric Coward SG Collin Sexton UTIL Nic Claxton


Player Name,Actual Score,Ownership,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Victor Wembanyama,30.75,39.21,0.9044117647058824,0.5,0.0,30.75,34.0,7.5,0.2439024390243902,0.9705882352941176,0.4,0.0,0.0,0.0,0.0,4.0,0.0
LaMelo Ball,0.0,0.13,,,,,,,,,,,,,,,
Tyrese Maxey,47.5,33.22,1.2179487179487178,0.8717948717948718,0.0,47.5,39.0,4.75,0.1,0.8205128205128205,0.5,0.2051282051282051,0.1366361827891626,1.0,0.125,3.0,0.0
Devin Booker,50.5,5.37,1.4428571428571428,1.3142857142857145,0.0,50.5,35.0,2.75,0.0544554455445544,0.8285714285714286,0.0,0.3714285714285714,0.2359426187691138,2.0,0.2307692307692307,2.0,1.0
Ja Morant,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Mobley,38.5,7.73,1.1,0.6285714285714286,0.0,38.5,35.0,2.0,0.0519480519480519,0.8285714285714286,0.2,0.1142857142857142,0.0683308774599496,4.0,0.5,4.0,0.0
Trae Young,0.0,,,,,,,,,,,,,,,,
Donovan Mitchell,55.5,2.19,1.5416666666666667,1.25,0.0,55.5,36.0,3.0,0.054054054054054,0.8888888888888888,0.7777777777777778,0.2777777777777778,0.143584055631336,3.0,0.2,5.0,0.0
Josh Giddey,63.0,18.36,1.506578947368421,1.0263157894736843,0.0,57.25,38.0,5.25,0.0917030567685589,0.9736842105263158,0.3333333333333333,0.2894736842105263,0.1459765843451781,2.0,0.2727272727272727,3.0,1.0
Jalen Brunson,46.75,12.14,1.4609375,1.125,0.0,46.75,32.0,2.0,0.0427807486631016,1.15625,0.5,0.4375,0.0821249529562754,1.0,0.2857142857142857,3.0,1.0
Karl-Anthony Towns,52.25,17.48,1.4097222222222223,0.7222222222222222,0.0,50.75,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Johnson,48.75,15.41,1.35,0.9142857142857144,0.0,47.25,35.0,3.5,0.074074074074074,1.0571428571428572,0.125,0.1714285714285714,0.1403415660677608,1.0,0.1666666666666666,4.0,0.0
Nikola Vucevic,44.0,1.95,1.328125,0.75,0.0,42.5,32.0,11.75,0.2764705882352941,0.9375,0.25,0.15625,0.0608793134784603,1.0,0.4,2.0,1.0
Jaren Jackson Jr.,35.25,7.91,1.1015625,0.78125,0.0,35.25,32.0,6.25,0.1773049645390071,0.90625,0.4285714285714285,0.25,0.158486487476694,4.0,0.375,6.0,0.0
Lauri Markkanen,43.75,22.6,1.3257575757575757,0.9696969696969696,0.0,43.75,33.0,2.75,0.0628571428571428,1.0909090909090908,0.4666666666666667,0.1212121212121212,0.1100684184290567,3.0,0.0,3.0,1.0
Scottie Barnes,60.0,12.13,1.828125,0.90625,0.0,58.5,32.0,0.0,0.0,1.34375,0.4545454545454545,0.09375,0.0685871056241426,1.0,0.3333333333333333,4.0,0.0
Darius Garland,0.0,,,,,,,,,,,,,,,,
Miles Bridges,44.5,33.17,1.3484848484848484,1.0606060606060606,0.0,44.5,33.0,2.5,0.0561797752808988,1.0303030303030305,0.6363636363636364,0.4545454545454545,0.1996675302795575,3.0,0.0666666666666666,2.0,1.0
Coby White,0.0,,,,,,,,,,,,,,,,
Joel Embiid,0.0,,,,,,,,,,,,,,,,
VJ Edgecombe,28.5,10.68,0.8636363636363636,0.6666666666666666,0.0,28.5,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul George,0.0,,,,,,,,,,,,,,,,
De'Aaron Fox,0.0,,,,,,,,,,,,,,,,
Mark Williams,24.75,0.21,0.99,0.36,0.0,24.75,25.0,1.25,0.0505050505050505,0.68,0.0,0.04,0.0,1.0,0.0,4.0,1.0
Keyonte George,40.5,22.94,1.2272727272727273,1.0909090909090908,0.0,40.5,33.0,5.5,0.1358024691358024,1.0,0.2,0.3333333333333333,0.0930544044351388,3.0,0.1818181818181818,3.0,0.0
Brandon Ingram,41.25,18.38,1.25,1.0303030303030305,0.0,41.25,33.0,3.5,0.0848484848484848,0.9696969696969696,0.3333333333333333,0.303030303030303,0.1784122098944605,2.0,0.1,4.0,1.0
Stephon Castle,48.25,6.28,1.4191176470588236,0.9705882352941176,0.0,48.25,34.0,7.75,0.160621761658031,0.8529411764705882,0.6,0.3235294117647059,0.2047150002360062,4.0,0.3636363636363636,3.0,0.0
Cam Thomas,32.25,5.51,0.9214285714285714,0.9428571428571428,0.0,32.25,35.0,1.5,0.0465116279069767,0.8,0.25,0.2857142857142857,0.1057969628906689,2.0,0.3,3.0,1.0
Walker Kessler,0.0,,,,,,,,,,,,,,,,
RJ Barrett,43.5,2.09,1.2083333333333333,0.9722222222222222,0.0,43.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristaps Porzingis,40.0,2.41,1.375,0.7857142857142857,0.0,38.5,28.0,1.25,0.0324675324675324,1.1428571428571428,0.5,0.25,0.1653630276812714,2.0,0.1428571428571428,4.0,1.0
Brandon Miller,0.0,,,,,,,,,,,,,,,,
Michael Porter Jr.,43.75,16.13,1.3629032258064515,0.7096774193548387,0.0,42.25,31.0,1.25,0.029585798816568,1.4516129032258065,0.6666666666666666,0.1935483870967742,0.1501489073995111,3.0,0.3333333333333333,5.0,1.0
Immanuel Quickley,18.5,3.5,0.578125,0.4375,0.0,18.5,32.0,0.0,0.0,0.4375,0.3333333333333333,0.09375,1.0,3.0,0.0,5.0,0.0
Dyson Daniels,36.5,8.48,1.0138888888888888,0.6388888888888888,0.0,36.5,36.0,7.75,0.2123287671232876,0.6388888888888888,0.1666666666666666,0.1666666666666666,0.1869412894082394,4.0,0.6666666666666666,4.0,0.0
Grayson Allen,26.75,1.91,0.7867647058823529,0.6470588235294118,0.0,26.75,34.0,1.0,0.0373831775700934,0.5294117647058824,0.8,0.0,0.0,0.0,0.0,5.0,1.0
Mikal Bridges,30.75,4.67,0.8785714285714286,0.6571428571428571,0.0,30.75,35.0,0.0,0.0,0.5142857142857142,0.75,0.0571428571428571,1.0,1.0,0.0,5.0,1.0
Onyeka Okongwu,14.75,1.36,0.5673076923076923,0.5,0.0,14.75,26.0,-0.5,-0.0338983050847457,0.7307692307692307,0.1666666666666666,0.0769230769230769,1.0,1.0,0.0,3.0,0.0
Devin Vassell,10.25,3.45,0.3203125,0.21875,0.0,10.25,32.0,0.0,0.0,0.40625,0.8571428571428571,0.0625,1.0,1.0,0.0,2.0,1.0
Collin Sexton,32.0,34.11,1.0517241379310345,0.9655172413793104,0.0,30.5,29.0,2.0,0.0655737704918032,0.7586206896551724,0.4285714285714285,0.1034482758620689,0.1243781094527363,1.0,0.0,6.0,0.0
Santi Aldama,24.0,3.63,0.8571428571428571,0.6071428571428571,0.0,24.0,28.0,1.0,0.0416666666666666,0.7857142857142857,0.5,0.1071428571428571,0.0567697984672154,1.0,0.3333333333333333,5.0,0.0
Jalen Green,0.0,,,,,,,,,,,,,,,,
OG Anunoby,36.5,10.24,1.042857142857143,0.7428571428571429,0.0,36.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Andre Hunter,37.25,10.88,1.2338709677419355,0.7741935483870968,0.0,38.25,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakob Poeltl,0.0,,,,,,,,,,,,,,,,
Quentin Grimes,55.75,6.17,1.65625,1.21875,0.0,53.0,32.0,5.0,0.0943396226415094,0.96875,0.5,0.125,0.2812929628922698,3.0,0.5,3.0,0.0
Matas Buzelis,26.25,4.28,0.8870967741935484,0.4838709677419355,0.0,27.5,31.0,1.5,0.0545454545454545,0.5806451612903226,0.3333333333333333,0.032258064516129,0.0,1.0,0.0,4.0,1.0
Nickeil Alexander-Walker,26.75,7.17,0.7867647058823529,0.7647058823529411,0.0,26.75,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Strus,0.0,,,,,,,,,,,,,,,,
Kelly Oubre Jr.,37.25,24.02,1.128787878787879,0.9393939393939394,0.0,37.25,33.0,0.0,0.0,0.8787878787878788,0.6666666666666666,0.1818181818181818,0.5743524891767754,1.0,0.0,1.0,1.0
Zach Edey,0.0,,,,,,,,,,,,,,,,
Jarrett Allen,0.0,0.01,,,,,,,,,,,,,,,
Jared McCain,0.0,,,,,,,,,,,,,,,,
Tre Jones,26.5,2.95,0.7794117647058824,0.6470588235294118,0.0,26.5,34.0,2.0,0.0754716981132075,0.4705882352941176,0.3333333333333333,0.1176470588235294,0.1446279379755138,4.0,0.5,4.0,0.0
Dylan Harper,12.75,2.99,1.1590909090909092,1.181818181818182,0.0,12.75,11.0,0.0,0.0,1.0909090909090908,0.0,0.6363636363636364,0.3172584571054475,1.0,0.0,2.0,0.0
Isaiah Collier,0.0,,,,,,,,,,,,,,,,
Josh Hart,30.75,0.36,1.1826923076923077,0.7692307692307693,0.0,30.75,26.0,4.5,0.1463414634146341,1.0,0.6,0.1153846153846153,0.2032520325203252,3.0,0.0,8.0,0.0
