# Top Lineup Score: 361.0
# Cash Score: 270.00
# Top 3 Lineups:
# Rank 1: 361.0 - C Isaiah Stewart F Tari Eason G Christian Braun PF Noah Clowney PG Amen Thompson SF OG Anunoby SG Russell Westbrook UTIL Nikola Jokic
# Rank 2: 360.25 - C Isaiah Stewart F Tari Eason G Russell Westbrook PF Karl-Anthony Towns PG Amen Thompson SF Ausar Thompson SG Payton Pritchard UTIL PJ Washington
# Rank 3: 359.0 - C Jusuf Nurkic F Isaiah Stewart G Christian Braun PF Karl-Anthony Towns PG Russell Westbrook SF Tari Eason SG Josh Okogie UTIL Nikola Jokic


Player Name,Actual Score,Ownership,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Nikola Jokic,78.75,18.34,2.1458333333333335,1.3611111111111112,0.0,77.25,36.0,3.0,0.038834951456310676,0.9722222222222222,0.6666666666666666,0.2222222222222222,0.1813711663052046,1.0,0.25,2.0,1.0
Giannis Antetokounmpo,61.25,20.97,1.8671875,1.28125,0.0,59.75,32.0,6.75,0.11297071129707113,1.375,0.1,0.34375,0.14209187876429788,1.0,0.2727272727272727,2.0,1.0
Anthony Davis,0.0,0.0,,,,,,,,,,,,,,,
Cade Cunningham,53.25,19.71,1.3653846153846154,1.1282051282051282,0.0,53.25,39.0,7.5,0.14084507042253522,1.0,0.25,0.358974358974359,0.23219651727017182,4.0,0.5,3.0,1.0
Pascal Siakam,57.25,5.92,1.506578947368421,1.131578947368421,0.0,57.25,38.0,6.25,0.1091703056768559,1.1842105263157894,0.3125,0.4473684210526316,0.11214552026523304,4.0,0.35294117647058826,3.0,0.0
Ja Morant,40.25,1.23,1.1071428571428572,0.9428571428571428,0.0,38.75,35.0,0.0,0.0,0.9428571428571428,0.3,0.34285714285714286,0.18388944642413735,2.0,0.16666666666666666,4.0,0.0
Alperen Sengun,50.75,10.52,1.23125,0.875,0.0,49.25,40.0,2.75,0.05583756345177665,1.1,0.14285714285714285,0.275,0.2634865405206836,4.0,0.36363636363636365,5.0,0.0
Anthony Edwards,0.0,,,,,,,,,,,,,,,,
Domantas Sabonis,44.25,1.97,1.1554054054054055,0.5405405405405406,0.0,42.75,37.0,2.5,0.05847953216374269,0.8378378378378378,0.0,0.16216216216216217,0.17633955445229463,1.0,0.0,2.0,1.0
Jalen Brunson,32.25,11.35,1.0078125,0.84375,0.0,32.25,32.0,0.0,0.0,0.78125,0.36363636363636365,0.1875,0.21075693870061168,1.0,0.0,4.0,1.0
