id,prd,clck,txt,tm,team,hmScr,awyScr,sq,plyTypId,scrng,wnPrb
4018100214,1,12:00,Wendell Carter Jr. vs. Kristaps Porzingis (Paolo Banchero gains possession),19,ORL,0,0,4,615,,50.7
4018100217,1,11:33,Wendell Carter Jr. makes driving layup,19,ORL,0,2,7,110,True,53.7
4018100218,1,11:18,Zaccharie Risacher makes 25-foot three point jumper (Dyson Daniels assists),1,ATL,3,2,8,92,True,51.5
40181002111,1,10:56,Paolo Banchero makes 6-foot two point shot (Jalen Suggs assists),19,ORL,3,4,11,145,True,51
40181002113,1,10:40,Zaccharie Risacher makes layup (Dyson Daniels assists),1,ATL,5,4,13,141,True,51.5
40181002115,1,10:40,Desmond Bane shooting foul,19,ATL,5,4,15,44,,55.9
40181002117,1,10:40,Zaccharie Risacher makes free throw 1 of 1,1,ATL,6,4,17,97,True,54.1
40181002118,1,10:27,Paolo Banchero makes 11-foot pullup jump shot,19,ATL,6,6,18,131,True,51.4
40181002119,1,10:13,Jalen Johnson misses 24-foot three point jumper,1,ORL,6,6,19,92,,50.4
40181002120,1,10:10,Franz Wagner defensive rebound,19,ORL,6,6,20,155,,51
40181002121,1,9:55,Franz Wagner misses driving layup,19,ATL,6,6,21,110,,50.8
40181002123,1,9:51,Dyson Daniels defensive rebound,1,ATL,6,6,23,155,,51.4
40181002124,1,9:48,Nickeil Alexander-Walker traveling,1,ORL,6,6,24,64,,51
40181002125,1,9:39,Jalen Johnson personal foul,1,ORL,6,6,25,45,,51
40181002127,1,9:27,Paolo Banchero misses 25-foot three point pullup jump shot,19,ATL,6,6,27,131,,50.9
40181002128,1,9:23,Jalen Suggs offensive rebound,19,ORL,6,6,28,156,,51.1
40181002129,1,9:23,Kristaps Porzingis shooting foul,1,ORL,6,6,29,44,,52.8
40181002131,1,9:23,Jalen Suggs makes free throw 1 of 2,19,ORL,6,7,31,98,True,55.5
40181002132,1,9:23,Jalen Suggs makes free throw 2 of 2,19,ORL,6,8,32,99,True,53.5
40181002133,1,9:10,Zaccharie Risacher makes 1-foot layup (Kristaps Porzingis assists),1,ORL,8,8,33,141,True,51
40181002135,1,9:10,Desmond Bane shooting foul,19,ATL,8,8,35,44,,53.4
40181002137,1,9:10,Zaccharie Risacher makes free throw 1 of 1,1,ATL,9,8,37,97,True,51.6
40181002138,1,8:54,Franz Wagner bad pass (Kristaps Porzingis steals),19,ATL,9,8,38,62,,54.1
40181002140,1,8:42,Nickeil Alexander-Walker misses driving layup,1,ATL,9,8,40,110,,52.2
40181002141,1,8:39,Wendell Carter Jr. defensive rebound,19,ATL,9,8,41,155,,51.6
40181002142,1,8:31,Jalen Suggs bad pass (Zaccharie Risacher steals),19,ATL,9,8,42,62,,54.1
