team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,3ptpct,ast,blk,dreb,fg,fgpct,ft,ftpct,min,oreb,pf,pts,reb,stl,to
MIN,,False,3064514,Julius Randle,30,starters,+22,1-4,25.0,7,0,7,7-16,43.8,12-13,92.3,34,1,2,27,8,3,2
MIN,,False,4431671,Jaden McDaniels,3,starters,+8,1-2,50.0,3,0,6,6-13,46.2,3-3,100.0,35,0,4,16,6,2,1
MIN,,False,3032976,Rudy Gobert,27,starters,+8,0-0,0.0,1,2,9,7-8,87.5,0-1,0.0,34,3,5,14,12,0,2
MIN,,False,3934673,Donte DiVincenzo,0,starters,+18,1-8,12.5,2,1,1,4-11,36.4,5-5,100.0,37,0,2,14,1,1,1
MIN,,False,4594268,Anthony Edwards,5,starters,+13,5-9,55.6,6,1,6,13-25,52.0,4-4,100.0,38,0,3,35,6,0,1
MIN,,False,4396971,Naz Reid,11,bench,-14,1-7,14.3,3,1,4,3-10,30.0,0-0,0.0,28,1,1,7,5,1,0
MIN,,False,3195,Mike Conley,10,bench,-13,1-2,50.0,2,0,1,1-3,33.3,2-2,100.0,18,1,0,5,2,0,2
MIN,,False,4432247,Jaylen Clark,22,bench,-5,0-1,0.0,0,0,0,1-2,50.0,0-0,0.0,13,1,4,2,1,1,1
MIN,,False,4684275,Rob Dillingham,4,bench,-2,0-0,0.0,1,0,1,0-1,0.0,0-0,0.0,4,0,0,0,1,0,0
MIN,,False,2968436,Joe Ingles,7,bench,,,,,,,,,,,,,,,,,
MIN,,False,5044385,Leonard Miller,33,bench,,,,,,,,,,,,,,,,,
MIN,,False,5279133,Joan Beringer,19,bench,,,,,,,,,,,,,,,,,
MIN,,False,4432817,Johnny Juzang,9,bench,,,,,,,,,,,,,,,,,
MIN,,False,4592492,Bones Hyland,8,bench,,,,,,,,,,,,,,,,,
UTAH,,False,4066336,Lauri Markkanen,23,starters,-10,4-7,57.1,3,0,4,6-15,40.0,5-6,83.3,35,4,4,21,8,1,1
UTAH,,False,3102530,Jusuf Nurkic,30,starters,-13,1-3,33.3,3,0,6,2-11,18.2,1-4,25.0,25,4,3,6,10,1,1
UTAH,,False,3133602,Svi Mykhailiuk,10,starters,-17,3-11,27.3,2,0,2,4-13,30.8,0-0,0.0,28,1,2,11,3,0,1
UTAH,,False,4433627,Keyonte George,3,starters,-12,3-11,27.3,6,1,6,9-18,50.0,6-6,100.0,36,0,2,27,6,0,3
UTAH,,False,4873138,Ace Bailey,19,starters,-16,0-3,0.0,2,0,3,4-9,44.4,2-2,100.0,28,4,4,10,7,3,2
UTAH,,False,3449,Kevin Love,42,bench,+1,2-5,40.0,1,1,3,3-6,50.0,2-2,100.0,17,0,2,10,3,0,1
UTAH,,False,4684793,Kyle Filipowski,22,bench,+14,1-4,25.0,3,1,2,2-6,33.3,2-2,100.0,26,1,4,7,3,0,2
UTAH,,False,5105839,Brice Sensabaugh,28,bench,+11,1-3,33.3,1,0,2,4-6,66.7,1-1,100.0,11,2,0,10,4,0,1
UTAH,,False,4683766,Isaiah Collier,8,bench,-3,0-0,0.0,7,0,3,2-3,66.7,1-1,100.0,16,0,3,5,3,0,2
UTAH,,False,4896372,Walter Clayton Jr.,13,bench,+10,2-5,40.0,2,2,3,2-8,25.0,0-0,0.0,18,0,0,6,3,0,1
UTAH,,False,4895758,Cody Williams,5,bench,,,,,,,,,,,,,,,,,
UTAH,,False,4397449,Elijah Harkless,16,bench,,,,,,,,,,,,,,,,,
