team,teamName,isHome,playerId,playerName,jersey,entryType,+/-,3pt,ast,blk,dreb,fg,ft,min,oreb,pf,pts,reb,stl,to
ATL,,False,4431680,Onyeka Okongwu,17,starters,-5,3-9,5,2,4,9-15,6-6,37,0,3,27,4,2,2
ATL,,False,4701230,Jalen Johnson,1,starters,+21,2-3,7,0,8,9-13,5-6,39,2,1,25,10,1,5
ATL,,False,5211175,Zaccharie Risacher,10,starters,+3,3-8,4,0,3,6-13,0-0,26,0,1,15,3,2,1
ATL,,False,4278039,Nickeil Alexander-Walker,7,starters,+22,3-9,4,0,2,9-18,5-7,35,1,2,26,3,2,2
ATL,,False,4869342,Dyson Daniels,5,starters,+11,0-1,12,0,3,5-6,1-1,37,4,4,11,7,3,4
ATL,,False,4712863,Mouhamed Gueye,18,bench,-16,0-2,0,0,0,0-2,0-0,10,1,3,0,1,0,1
ATL,,False,4873201,Asa Newell,14,bench,+4,1-2,0,0,0,2-5,3-4,9,1,1,8,1,0,0
ATL,,False,3913174,Luke Kennard,3,bench,-4,0-2,0,0,1,0-2,0-0,12,0,0,0,1,0,0
ATL,,False,4279118,Keaton Wallace,2,bench,-25,1-2,1,0,1,2-4,0-0,12,0,1,5,1,1,1
ATL,,False,4578893,Vit Krejci,27,bench,-1,1-5,2,1,3,3-7,0-0,22,0,3,7,3,0,1
ATL,,False,3102531,Kristaps Porzingis,8,bench,,,,,,,,,,,,,,
ATL,,False,4433623,Caleb Houstan,33,bench,,,,,,,,,,,,,,
PHX,,False,2583632,Royce O'Neale,00,starters,-18,1-6,1,0,4,1-9,0-0,25,2,1,3,6,0,0
PHX,,False,3155526,Dillon Brooks,3,starters,-2,3-7,1,0,5,14-25,3-3,36,1,5,34,6,3,3
PHX,,False,4888725,Ryan Dunn,0,starters,-24,2-4,4,0,1,4-9,2-2,24,3,4,12,4,2,1
PHX,,False,4701232,Mark Williams,15,starters,-15,0-0,1,0,3,4-5,0-0,28,1,4,8,4,0,2
PHX,,False,3136193,Devin Booker,1,starters,-17,0-6,7,1,1,10-23,7-7,38,1,4,27,2,1,5
PHX,,False,4277957,Isaiah Livers,18,bench,+20,2-2,0,0,5,2-2,0-0,17,0,0,6,5,0,0
PHX,,False,4601023,Oso Ighodaro,11,bench,-2,0-0,0,1,0,0-0,0-0,5,0,1,0,0,0,1
PHX,,False,4278076,Nick Richards,2,bench,+16,0-0,0,1,3,1-2,1-2,14,2,2,3,5,0,2
PHX,,False,4278402,Jordan Goodwin,23,bench,+14,1-2,2,0,4,6-9,1-1,22,3,1,14,7,1,1
PHX,,False,4278585,Collin Gillespie,12,bench,+18,1-3,7,0,5,5-13,4-4,32,3,2,15,8,2,2
PHX,,False,3059409,Nigel Hayes-Davis,21,bench,,,,,,,,,,,,,,
PHX,,False,5105977,Rasheer Fleming,20,bench,,,,,,,,,,,,,,
PHX,,False,5203685,Khaman Maluach,10,bench,,,,,,,,,,,,,,
