Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied
Luka Doncic,PG,LAL,11000,52.77,2,30,61.84,43.38,1,91.0,36.7,53.89,51,196,2,0,54.8,vs GSW,2.5,120,227.5,112.5
Shai Gilgeous-Alexander,PG,OKC,10300,55.2,25,30,63.15,39.41,1,92.0,27.6,51.22,63,179,1,0,53.1,vs HOU,-6.5,-245,225.5,116.0
Kevin Durant,SF/PF,HOU,9700,44.98,1,30,54.74,30.61,1,90.0,18.3,39.34,74,129,0,0,44.4,@OKC,6.5,200,225.5,109.5
LeBron James,PF,LAL,9500,0.0,1,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,50.2,vs GSW,2.5,120,227.5,112.5
Stephen Curry,PG,GSW,9300,44.27,21,30,57.39,28.43,1,88.0,18.4,41.13,72,127,3,0,43.2,@LAL,-2.5,-142,227.5,115.0
Alperen Sengun,C,HOU,9200,42.37,21,30,54.02,36.51,1,89.0,10.4,38.77,120,123,-1,0,43.5,@OKC,6.5,200,225.5,109.5
Jalen Williams,SF,OKC,8500,0.0,25,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,40.0,vs HOU,-6.5,-245,225.5,116.0
Jimmy Butler,SF/PF,GSW,8000,40.24,27,30,54.88,25.93,1,85.0,31.9,35.76,33,124,8,0,36.6,@LAL,-2.5,-142,227.5,115.0
Amen Thompson,PG/SG,HOU,7900,35.11,3,30,45.45,26.92,1,86.0,29.6,34.8,31,117,-2,0,35.0,@OKC,6.5,200,225.5,109.5
Chet Holmgren,PF/C,OKC,7600,34.32,9,30,39.63,21.59,1,85.0,23.9,34.16,34,103,-1,0,33.7,vs HOU,-6.5,-245,225.5,116.0
Austin Reaves,SG,LAL,7300,32.5,26,30,46.12,26.32,1,88.0,45.8,37.28,19,132,2,0,37.2,vs GSW,2.5,120,227.5,112.5
Brandin Podziemski,PG/SG,GSW,6600,31.81,21,30,37.4,13.06,1,82.0,25.9,28.25,25,84,3,0,25.8,@LAL,-2.5,-142,227.5,115.0
Deandre Ayton,C,LAL,6300,37.07,25,30,45.82,20.74,1,84.0,35.6,31.23,20,111,6,0,33.0,vs GSW,2.5,120,227.5,112.5
Jonathan Kuminga,PF,GSW,5900,24.4,8,30,32.94,9.09,1,83.0,19.6,25.23,25,64,6,0,26.0,@LAL,-2.5,-142,227.5,115.0
Buddy Hield,SG/SF,GSW,5800,21.31,8,30,34.79,8.12,2,80.0,6.9,20.52,64,48,5,0,20.7,@LAL,-2.5,-142,227.5,115.0
Draymond Green,PF/C,GSW,5700,27.91,8,30,35.96,19.26,1,85.0,43.4,27.79,12,99,-2,0,29.0,@LAL,-2.5,-142,227.5,115.0
Rui Hachimura,SF,LAL,5600,23.1,7,30,29.59,14.22,1,82.0,24.2,22.89,18,68,5,0,24.4,vs GSW,2.5,120,227.5,112.5
Al Horford,PF/C,GSW,5500,18.15,4,30,34.57,17.06,2,86.0,11.8,18.4,33,56,1,0,23.3,@LAL,-2.5,-142,227.5,115.0
Isaiah Hartenstein,C,OKC,5400,27.48,3,30,30.225360048597302,14.18,1,86.0,48.1,30.03,10,99,-5,0,31.0,vs HOU,-6.5,-245,225.5,116.0
Tari Eason,SF/PF,HOU,5300,22.28,22,30,29.09,13.51,2,86.0,23.0,23.34,17,68,-2,0,26.4,@OKC,6.5,200,225.5,109.5
Jabari Smith Jr.,PF/C,HOU,5200,22.08,17,30,30.87,12.66,1,84.0,29.7,24.19,14,70,1,0,24.3,@OKC,6.5,200,225.5,109.5
Cason Wallace,PG/SG,OKC,5100,20.57,25,30,22.88,10.74,1,83.0,13.7,19.94,24,53,-1,0,19.6,vs HOU,-6.5,-245,225.5,116.0
Aaron Wiggins,SF/PF,OKC,5000,21.43,25,30,23.5780545,2.74,2,77.0,30.4,22.79,11,54,-3,0,19.6,vs HOU,-6.5,-245,225.5,116.0
Reed Sheppard,PG/SG,HOU,4900,17.88,30,30,26.33,0.0,2,61.0,11.9,18.72,26,33,0,0,10.1,@OKC,6.5,200,225.5,109.5
Moses Moody,SG/SF,GSW,4800,0.0,8,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,17.2,@LAL,-2.5,-142,227.5,115.0
Alex Caruso,SF,OKC,4600,20.26,25,30,28.15,12.94,2,84.0,30.6,21.42,11,66,1,0,19.7,vs HOU,-6.5,-245,225.5,116.0
Clint Capela,C,HOU,4500,13.84,4,30,30.09,12.07,2,87.0,4.9,12.97,52,38,-2,0,24.3,@OKC,6.5,200,225.5,109.5
Luguentz Dort,SG,OKC,4400,21.0,3,30,26.76,9.68,1,82.0,40.8,21.1,7,66,-1,0,20.9,vs HOU,-6.5,-245,225.5,116.0
Marcus Smart,PG/SG,LAL,4300,16.68,17,30,25.59,8.85,2,80.0,19.3,17.79,13,47,-3,0,19.2,vs GSW,2.5,120,227.5,112.5
Steven Adams,C,HOU,4200,23.28,21,30,26.55,9.73,1,74.0,29.8,19.74,10,60,3,0,14.6,@OKC,6.5,200,225.5,109.5
Dalton Knecht,SG/SF,LAL,4100,7.1,3,30,21.2,0.0,2,73.0,2.5,6.32,57,12,4,0,14.9,vs GSW,2.5,120,227.5,112.5
Jaylin Williams,C,OKC,4000,10.06,3,30,12.34,0.63,2,75.0,5.5,14.49,27,23,-4,0,16.3,vs HOU,-6.5,-245,225.5,116.0
Jarred Vanderbilt,PF/C,LAL,3900,16.2,1,30,18.29,5.93,2,79.0,12.9,16.23,15,39,-2,0,13.7,vs GSW,2.5,120,227.5,112.5
Jaxson Hayes,C,LAL,3800,10.19,5,30,21.09,4.6,2,72.0,1.2,11.77,82,23,-3,0,16.2,vs GSW,2.5,120,227.5,112.5
Ajay Mitchell,PG,OKC,3800,9.53,12,30,14.23,1.74,2,71.0,25.6,15.23,6,28,-2,0,11.3,vs HOU,-6.5,-245,225.5,116.0
Quinten Post,C,GSW,3800,10.74,15,30,18.79,0.74,2,70.0,4.0,14.57,42,23,-1,0,15.1,@LAL,-2.5,-142,227.5,115.0
Aaron Holiday,PG/SG,HOU,3800,8.42,30,30,18.91,3.21,2,66.0,1.9,9.7,70,18,-4,0,10.1,@OKC,6.5,200,225.5,109.5
Maxi Kleber,PF/C,LAL,3700,0.0,1,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,9.6,vs GSW,2.5,120,227.5,112.5
Dorian Finney-Smith,SF/PF,HOU,3700,0.0,22,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,18.8,@OKC,6.5,200,225.5,109.5
Seth Curry,PG,GSW,3700,0.0,20,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,11.3,@LAL,-2.5,-142,227.5,115.0
Jake LaRavia,SF/PF,LAL,3600,15.21,18,30,22.4,7.13,2,80.0,19.2,15.69,10,41,-4,0,17.9,vs GSW,2.5,120,227.5,112.5
Jae'Sean Tate,SF,HOU,3600,0.0,22,30,0.0,0.0,4,0.0,0.0,0.86,0,0,0,0,9.0,@OKC,6.5,200,225.5,109.5
Gabe Vincent,PG,LAL,3500,15.79,2,30,19.16,3.06,1,77.0,17.0,15.44,10,36,0,0,11.9,vs GSW,2.5,120,227.5,112.5
Isaiah Joe,SG/SF,OKC,3400,0.0,5,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,16.4,vs HOU,-6.5,-245,225.5,116.0
JD Davison,PG,HOU,3400,2.23,30,30,9.65,0.54,2,60.0,0.0,0.0,0,0,-6,0,4.4,@OKC,6.5,200,225.5,109.5
Nick Smith Jr.,PG,LAL,3300,0.0,17,30,0.0,0.0,4,0.0,0.3,0.0,0,0,0,0,17.1,vs GSW,2.5,120,227.5,112.5
Josh Okogie,SG,HOU,3300,10.21,23,30,26.84,9.81,2,72.0,3.4,11.14,47,28,-1,0,15.2,@OKC,6.5,200,225.5,109.5
Jeff Green,PF,HOU,3300,4.03,14,30,15.46,0.88,2,69.0,0.3,2.46,36,6,2,0,8.8,@OKC,6.5,200,225.5,109.5
Trayce Jackson-Davis,C,GSW,3200,8.91,15,30,16.01,0.34,2,75.0,0.3,5.3,48,13,0,0,16.0,@LAL,-2.5,-142,227.5,115.0
Gary Payton II,SG,GSW,3200,11.1,8,30,21.13,4.43,2,78.0,10.6,12.74,14,28,1,0,14.0,@LAL,-2.5,-142,227.5,115.0
Kenrich Williams,PF/C,OKC,3200,0.0,18,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,13.0,vs HOU,-6.5,-245,225.5,116.0
Adou Thiero,SF,LAL,3200,0.0,18,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs GSW,2.5,120,227.5,112.5
Nikola Topic,PG,OKC,3200,0.0,12,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs HOU,-6.5,-245,225.5,116.0
Ousmane Dieng,PF/C,OKC,3100,3.0,18,30,12.54,0.0,2,57.99999999999999,3.1,4.18,20,6,-3,0,8.0,vs HOU,-6.5,-245,225.5,116.0
Bronny James,PG/SG,LAL,3100,2.0,17,30,15.49,0.0,2,62.0,0.6,1.43,29,3,0,0,4.8,vs GSW,2.5,120,227.5,112.5
Gui Santos,SF,GSW,3100,3.95,10,30,14.12,0.0,2,66.0,4.7,6.55,16,9,-1,0,10.4,@LAL,-2.5,-142,227.5,115.0
Fred VanVleet,PG,HOU,3000,0.0,30,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,31.9,@OKC,6.5,200,225.5,109.5
