Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
LaMelo Ball,PG,CHA,9800,50.44,30,30,59.75,31.91,1,87.0,29.9,47.88,52,158,1,0,55.1,vs MIN,4.5,160,235.5,115.5,1.4317080999066292,1.0474439775910365,0.0,46.9375,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pascal Siakam,PF,IND,9300,39.31,25,30,53.97,31.18,1,88.0,15.3,43.96,83,124,4,0,48.6,vs GSW,10.5,380,230.5,110.0,1.348538241038241,0.9071977571977572,0.0,47.65,34.8,3.9,0.06421532171650168,1.1727316827316827,0.28561740890688253,0.2951118251118251,0.13380736111246924,1.8,0.17820512820512818,3.8,0.2
Alperen Sengun,C,HOU,9200,46.17,17,30,55.93,36.1,1,89.0,14.3,42.99,93,135,0,0,50.0,@BOS,-5.5,-198,226.5,116.0,1.2989594522019334,0.8898764769065521,0.0,49.625,38.0,2.5,0.042719185184057526,0.8856426781238812,0.15314685314685314,0.2557554600787683,0.14671398655506007,2.5,0.2107142857142857,4.0,0.0
Anthony Edwards,SG,MIN,9000,0.0,26,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,35.5,@CHA,-4.5,-192,235.5,120.0,1.6474969474969476,1.3106227106227106,0.0,35.5,25.666666666666668,1.0,0.020171890798786632,1.4188034188034189,0.42424242424242425,0.27863247863247864,0.1419871412407739,2.0,0.08683473389355739,1.3333333333333333,1.0
Paolo Banchero,PF,ORL,8900,46.23,27,30,58.75,34.78,1,89.0,23.5,44.21,57,146,6,0,43.7,@WAS,-8.5,-375,234.5,121.5,1.2101891091364778,0.8259702286018076,0.0,42.95,35.6,3.45,0.06709333746801346,1.0656451735399104,0.3157142857142857,0.3121364016100857,0.17605548928453546,2.2,0.2342857142857142,2.2,0.8
Stephen Curry,PG,GSW,8800,46.92,28,30,58.64,29.67,1,88.0,9.2,42.67,142,122,6,0,45.0,@IND,-10.5,-500,230.5,120.5,1.4905436205436204,1.1489113289113289,0.0,46.2,31.0,1.0,0.022546089995631256,1.0037624437624437,0.64,0.2662088462088462,0.20743162988445127,2.8,0.22214285714285714,3.4,0.6
Kevin Durant,SF,HOU,8700,42.14,22,30,53.15,29.48,1,90.0,16.0,39.67,73,123,2,0,41.4,@BOS,-5.5,-198,226.5,116.0,1.1692625071880394,0.8960609545715927,0.0,41.4375,36.5,2.9375,0.060477386487975994,0.999683726279471,0.3409090909090909,0.3423806785508914,0.1788543180793401,2.75,0.2375,3.0,0.75
Jaylen Brown,SF,BOS,8600,39.66,5,30,50.56,30.69,1,88.0,10.9,38.24,101,113,4,0,42.0,vs HOU,5.5,164,226.5,110.5,1.3478869047619049,1.145654761904762,0.0,42.75,31.6,1.35,0.028532112010372857,1.0461904761904761,0.32606060606060605,0.3063690476190476,0.13809625828370792,1.6,0.22222222222222224,3.0,0.8
Julius Randle,PF,MIN,8500,42.94,4,30,51.74,29.42,1,89.0,24.0,42.77,49,135,2,0,46.1,@CHA,-4.5,-192,235.5,120.0,1.3129834504834506,0.9726442926442926,0.0,46.1,35.4,2.9,0.06344828814873502,0.9222327822327824,0.363095238095238,0.30861069861069856,0.18103703860681716,3.0,0.2477564102564102,3.0,0.6
Derrick White,PG,BOS,7700,31.45,26,30,42.76,25.53,1,88.0,9.1,34.9,92,94,3,0,33.7,vs HOU,5.5,164,226.5,110.5,0.9407918265982783,0.6093526119332571,0.0,32.3,34.2,3.85,0.12461216833646942,0.7127058352864803,0.6774603174603175,0.11703846284491445,0.28932071134716214,2.4,0.4,3.0,0.6
