# Top Lineup Score: 342.25
# Cash Score: 262.25
# Top 3 Lineups:
# Rank 1: 342.25 - C Ryan Kalkbrenner F Jarace Walker G LaMelo Ball PF Chet Holmgren PG Tre Jones SF VJ Edgecombe SG Nickeil Alexander-Walker UTIL Nikola Jokic
# Rank 2: 334.0 - C Mouhamed Gueye F Jarace Walker G Tyrese Maxey PF Paolo Banchero PG Tre Jones SF VJ Edgecombe SG Cedric Coward UTIL Nikola Jokic
# Rank 3: 333.5 - C Mouhamed Gueye F Chet Holmgren G LaMelo Ball PF Paolo Banchero PG Tre Jones SF Bennedict Mathurin SG Nickeil Alexander-Walker UTIL Onyeka Okongwu


Player Name,Actual Score,Ownership,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Nikola Jokic,62.0,46.09,1.796875,1.0625,0.0,57.5,32.0,0.75,0.0130434782608695,0.96875,1.0,0.125,0.1414089090144899,2.0,0.0,3.0,1.0
Shai Gilgeous-Alexander,47.75,35.08,1.646551724137931,1.2758620689655171,0.0,47.75,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trae Young,35.0,6.33,1.1166666666666667,1.0,0.0,33.5,30.0,9.5,0.2835820895522388,0.8333333333333334,0.125,0.2,0.1226415291899742,1.0,0.1666666666666666,4.0,0.0
Ja Morant,36.75,6.99,1.3611111111111112,1.0,0.0,36.75,27.0,0.0,0.0,0.9629629629629628,0.2222222222222222,0.4444444444444444,0.1166635141803946,3.0,0.0,3.0,0.0
Devin Booker,41.75,6.88,1.1283783783783785,1.2702702702702702,0.0,41.75,37.0,7.0,0.1676646706586826,1.027027027027027,0.3333333333333333,0.4324324324324324,0.1103835297000096,3.0,0.125,2.0,1.0
LaMelo Ball,61.0,8.44,1.75,1.1470588235294117,0.0,59.5,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese Maxey,52.0,30.12,1.238095238095238,0.9285714285714286,0.0,52.0,42.0,4.0,0.0769230769230769,0.9761904761904762,0.3846153846153846,0.3095238095238095,0.23187270176285,4.0,0.8461538461538461,5.0,0.0
Josh Giddey,37.5,12.42,1.171875,0.8125,0.0,37.5,32.0,5.75,0.1533333333333333,1.03125,0.2727272727272727,0.1875,0.0957268239733194,4.0,0.5,4.0,1.0
Nikola Vucevic,28.5,6.6,0.9193548387096774,0.6774193548387096,0.0,28.5,31.0,1.25,0.043859649122807,0.7741935483870968,0.0,0.1612903225806451,0.062819403037219,3.0,0.4,2.0,1.0
Jalen Johnson,0.0,0.08,,,,,,,,,,,,,,,
Jaren Jackson Jr.,21.0,3.3,0.84,0.76,0.0,21.0,25.0,1.25,0.0595238095238095,0.8,0.2857142857142857,0.24,0.1682759125823492,2.0,0.0,5.0,0.0
Pascal Siakam,31.5,26.6,1.2115384615384617,0.8076923076923077,0.0,31.5,26.0,0.0,0.0,0.9230769230769232,0.625,0.1923076923076923,0.1126815835060954,3.0,0.0,4.0,0.0
Joel Embiid,32.0,0.77,1.6,1.4,0.0,32.0,20.0,0.0,0.0,1.15,0.5,0.2,0.1734453938372815,1.0,0.0,2.0,1.0
Paolo Banchero,44.5,31.7,1.1944444444444444,0.7777777777777778,0.0,43.0,36.0,0.0,0.0,1.25,0.2,0.3888888888888889,0.1921328704111785,3.0,0.0714285714285714,2.0,1.0
Jalen Williams,0.0,,,,,,,,,,,,,,,,
Chet Holmgren,57.25,6.25,2.064814814814815,1.2962962962962965,0.0,55.75,27.0,8.0,0.1434977578475336,1.3333333333333333,0.25,0.4444444444444444,0.1747147183713367,3.0,0.3333333333333333,3.0,1.0
Franz Wagner,29.75,17.17,0.875,0.6176470588235294,0.0,29.75,34.0,5.25,0.1764705882352941,0.8529411764705882,0.1111111111111111,0.2058823529411764,0.097927908708175,2.0,0.1428571428571428,6.0,0.0
Coby White,0.0,,,,,,,,,,,,,,,,
Miles Bridges,40.75,3.82,1.1642857142857144,0.7428571428571429,0.0,40.75,35.0,2.75,0.0674846625766871,0.9142857142857144,0.5,0.1142857142857142,0.0897113411025304,1.0,0.0,4.0,0.0
Ty Jerome,0.0,,,,,,,,,,,,,,,,
Mark Williams,0.0,0.01,,,,,,,,,,,,,,,
Paul George,0.0,0.01,,,,,,,,,,,,,,,
Santi Aldama,25.0,0.06,1.1904761904761905,0.4761904761904761,0.0,25.0,21.0,4.75,0.19,0.8571428571428571,0.5,0.0,0.0,0.0,0.0,5.0,0.0
Kristaps Porzingis,0.0,,,,,,,,,,,,,,,,
Jamal Murray,40.5,19.89,1.265625,0.9375,0.0,40.5,32.0,6.75,0.1666666666666666,0.90625,0.5555555555555556,0.28125,0.1833352735370366,4.0,0.4444444444444444,3.0,0.0
Brandon Miller,4.5,5.38,0.5,0.7777777777777778,0.0,4.5,9.0,0.0,0.0,0.8888888888888888,0.5,0.1111111111111111,0.0,1.0,0.0,1.0,0.0
Aaron Gordon,27.5,7.25,1.1,0.72,0.0,27.5,25.0,0.0,0.0,0.76,0.8333333333333334,0.24,0.1307430172631284,1.0,0.0,2.0,1.0
Desmond Bane,24.75,16.98,0.7983870967741935,0.6774193548387096,0.0,24.75,31.0,1.0,0.0404040404040404,0.6774193548387096,0.4,0.0967741935483871,0.128122998078155,1.0,0.3333333333333333,4.0,0.0
Dyson Daniels,18.0,4.3,0.6666666666666666,0.4074074074074074,0.0,18.0,27.0,0.0,0.0,0.6296296296296297,0.0,0.1111111111111111,0.1350438892640108,3.0,0.0,3.0,0.0
Andrew Nembhard,0.0,,,,,,,,,,,,,,,,
Onyeka Okongwu,38.0,22.36,1.042857142857143,0.4285714285714285,0.0,36.5,35.0,0.0,0.0,0.7142857142857143,0.5714285714285714,0.0,0.0,0.0,0.0,3.0,1.0
Quentin Grimes,35.25,0.42,1.175,1.0,0.0,35.25,30.0,0.0,0.0,0.8333333333333334,0.5,0.2333333333333333,0.054576058654452,3.0,0.0,5.0,0.0
Jalen Green,0.0,,,,,,,,,,,,,,,,
Bennedict Mathurin,36.25,56.94,1.2946428571428572,1.1071428571428572,0.0,36.25,28.0,0.0,0.0,0.8571428571428571,0.0,0.3214285714285714,0.0646716993928958,3.0,0.0,1.0,1.0
Isaiah Hartenstein,34.0,1.54,1.1206896551724137,0.6206896551724138,0.0,32.5,29.0,5.5,0.1692307692307692,0.8620689655172413,0.1666666666666666,0.1034482758620689,0.0895255147717099,2.0,0.3333333333333333,3.0,1.0
