# Top Lineup Score: 362.25
# Cash Score: 271.50
# Top 3 Lineups:
# Rank 1: 362.25 - C Walker Kessler F Jarace Walker G Cade Cunningham PF Pascal Siakam PG RayJ Dennis SF Nickeil Alexander-Walker SG Keyonte George UTIL Josh Minott
# Rank 1: 362.25 - C Kristaps Porzingis F Jarace Walker G RayJ Dennis PF Matas Buzelis PG Cade Cunningham SF Josh Minott SG Keyonte George UTIL Pascal Siakam
# Rank 3: 361.0 - C Nikola Jokic F Lauri Markkanen G Jrue Holiday PF Jarace Walker PG RayJ Dennis SF Josh Minott SG Keyonte George UTIL Neemias Queta


Player Name,Actual Score,Ownership,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Nikola Jokic,59.0,45.32,1.9464285714285714,1.1785714285714286,0.0,54.5,28.0,0.0,0.0,1.0,0.25,0.07142857142857142,1.0,1.0,0.0,1.0,1.0
Anthony Davis,10.0,22.84,1.4285714285714286,0.8571428571428571,0.0,10.0,7.0,0.0,0.0,1.2857142857142858,0.0,0.14285714285714285,0.0,1.0,0.0,1.0,0.0
Cade Cunningham,66.5,4.97,1.8055555555555556,1.1111111111111112,0.0,65.0,36.0,9.0,0.13846153846153847,1.0277777777777777,0.5454545454545454,0.3888888888888889,0.23520580789192985,4.0,0.35714285714285715,5.0,1.0
Zion Williamson,16.5,1.74,0.6346153846153846,0.6153846153846154,0.0,16.5,26.0,2.0,0.12121212121212122,0.6153846153846154,0.0,0.19230769230769232,0.07631920411730057,1.0,0.4,3.0,0.0
Donovan Mitchell,32.0,3.11,1.0,0.75,0.0,32.0,32.0,1.25,0.0390625,0.6875,0.3333333333333333,0.0625,1.0,1.0,0.0,4.0,0.0
Trae Young,10.25,5.84,1.4642857142857142,1.1428571428571428,0.0,10.25,7.0,0.0,0.0,1.4285714285714286,0.0,0.42857142857142855,0.2936857562408223,1.0,0.0,1.0,0.0
Domantas Sabonis,43.75,5.0,1.3203125,0.8125,0.0,42.25,32.0,6.25,0.14792899408284024,0.90625,0.42857142857142855,0.09375,0.19782393669634024,1.0,0.3333333333333333,3.0,1.0
Josh Giddey,47.5,8.64,1.4838709677419355,1.1935483870967742,0.0,46.0,31.0,5.75,0.125,1.096774193548387,0.1111111111111111,0.22580645161290322,0.21303273277495,4.0,0.42857142857142855,3.0,1.0
Evan Mobley,45.75,6.77,1.3014705882352942,0.7647058823529411,0.0,44.25,34.0,11.25,0.2542372881355932,1.1470588235294117,0.38461538461538464,0.17647058823529413,0.08452226339891311,4.0,0.5,4.0,1.0
Deni Avdija,38.75,3.27,1.1397058823529411,0.8823529411764706,0.0,38.75,34.0,4.25,0.10967741935483871,1.088235294117647,0.625,0.29411764705882354,0.2226162340448741,3.0,0.3,5.0,1.0
Paolo Banchero,51.75,7.27,1.4357142857142857,1.0,0.0,50.25,35.0,9.25,0.18407960199004975,1.4285714285714286,0.2,0.42857142857142855,0.23367519782894872,1.0,0.26666666666666666,2.0,1.0
Pascal Siakam,52.75,46.3,1.385135135135135,0.8918918918918919,0.0,51.25,37.0,1.5,0.02926829268292683,1.4324324324324325,0.15789473684210525,0.32432432432432434,0.10748609281662999,2.0,0.25,4.0,0.0
Jaylen Brown,47.25,5.1,1.4765625,1.125,0.0,47.25,32.0,1.25,0.026455026455026454,0.90625,0.5714285714285714,0.1875,0.17717103208433932,2.0,0.16666666666666666,3.0,1.0
Nikola Vucevic,45.0,10.98,1.3181818181818181,0.6060606060606061,0.0,43.5,33.0,7.0,0.16091954022988506,0.8484848484848485,0.2857142857142857,0.06060606060606061,1.0,4.0,1.0,2.0,1.0
Jalen Johnson,40.75,2.83,1.4051724137931034,1.0344827586206897,0.0,40.75,29.0,8.25,0.20245398773006135,0.9310344827586207,0.3333333333333333,0.27586206896551724,0.07559461148496752,2.0,0.25,2.0,1.0
Derrick White,33.75,2.12,0.9642857142857143,0.7142857142857143,0.0,33.75,35.0,2.75,0.08148148148148149,0.9142857142857143,0.6428571428571429,0.2,0.11790400873073294,1.0,0.0,3.0,1.0
Darius Garland,0.0,0.0,,,,,,,,,,,,,,,
DeMar DeRozan,33.0,1.66,0.9428571428571428,0.7428571428571429,0.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
