# Top Lineup Score: 331.0
# Cash Score: 255.00
# Top 3 Lineups:
# Rank 1: 331.0 - C Ryan Kalkbrenner F Paolo Banchero G Ryan Rollins PF Jonathan Kuminga PG Ajay Mitchell SF Simone Fontecchio SG Anthony Black UTIL Victor Wembanyama
# Rank 2: 329.25 - C Victor Wembanyama F Bam Adebayo G Sion James PF Jaime Jaquez Jr. PG Ryan Rollins SF Tristan da Silva SG Anthony Black UTIL Stephon Castle
# Rank 3: 328.0 - C Victor Wembanyama F Jimmy Butler G Cason Wallace PF Jaime Jaquez Jr. PG Ryan Rollins SF Andrew Wiggins SG Anthony Black UTIL Jaylin Williams


Player Name,Actual Score,Ownership,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Giannis Antetokounmpo,0.0,1.34,,,,,,,,,,,,,,,
Victor Wembanyama,71.0,34.1,1.7375,0.9,0.0,69.5,40.0,3.0,0.0431654676258992,1.425,0.2857142857142857,0.275,0.2362679077461721,1.0,0.2727272727272727,5.0,0.0
Shai Gilgeous-Alexander,47.25,30.15,1.6810344827586208,1.3103448275862069,0.0,48.75,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaMelo Ball,49.75,31.57,1.3402777777777777,0.9166666666666666,0.0,48.25,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Curry,42.0,8.83,1.2,1.0285714285714285,0.0,42.0,35.0,0.0,0.0,1.0571428571428572,0.4166666666666667,0.2857142857142857,0.1503160990322313,1.0,0.2,4.0,1.0
Paolo Banchero,49.25,29.94,1.4924242424242424,0.9090909090909092,0.0,49.25,33.0,1.5,0.0304568527918781,0.8484848484848485,0.25,0.1818181818181818,0.106493999007816,1.0,0.3333333333333333,2.0,1.0
Tyler Herro,0.0,,,,,,,,,,,,,,,,
Bam Adebayo,54.5,14.89,1.4324324324324325,0.972972972972973,0.0,53.0,37.0,6.5,0.1226415094339622,1.135135135135135,0.5714285714285714,0.1891891891891892,0.3215730853862893,4.0,0.7142857142857143,4.0,0.0
Jalen Williams,0.0,,,,,,,,,,,,,,,,
Chet Holmgren,0.0,0.0,,,,,,,,,,,,,,,
Miles Bridges,24.75,12.5,0.75,0.5757575757575758,0.0,24.75,33.0,6.25,0.2525252525252525,0.6666666666666666,0.2857142857142857,0.0606060606060606,1.0,2.0,0.0,4.0,0.0
Jimmy Butler,46.25,12.1,,,,,,,,,,,,,,,
Franz Wagner,34.25,17.5,1.0073529411764706,0.7647058823529411,0.0,34.25,34.0,2.75,0.0802919708029197,0.7352941176470589,0.4285714285714285,0.1176470588235294,0.1324111713036147,1.0,0.0,4.0,0.0
De'Aaron Fox,0.0,,,,,,,,,,,,,,,,
Stephon Castle,50.5,11.34,1.4428571428571428,0.8857142857142857,0.0,50.5,35.0,0.0,0.0,0.8285714285714286,0.2857142857142857,0.2571428571428571,0.2447753573334982,2.0,0.0,2.0,1.0
Norman Powell,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyshawn George,30.75,17.98,0.9919354838709676,0.7419354838709677,0.0,30.75,31.0,1.5,0.048780487804878,0.7419354838709677,0.5,0.064516129032258,1.0,1.0,0.0,2.0,1.0
Brandon Miller,0.0,,,,,,,,,,,,,,,,
Alexandre Sarr,32.0,15.12,,,,,,,,,,,,,,,
Desmond Bane,22.5,22.16,0.8035714285714286,0.7142857142857143,0.0,22.5,28.0,2.0,0.0888888888888888,0.6071428571428571,0.4,0.1428571428571428,0.1239119849710716,3.0,0.25,6.0,0.0
Isaiah Hartenstein,37.0,11.62,1.4230769230769231,0.9615384615384616,0.0,37.0,26.0,8.75,0.2364864864864864,0.9615384615384616,0.0,0.1538461538461538,0.1625751365783893,4.0,0.75,4.0,1.0
Kevin Porter Jr.,0.0,,,,,,,,,,,,,,,,
Devin Vassell,33.25,3.48,0.8986486486486487,0.5135135135135135,0.0,33.25,37.0,4.0,0.1203007518796992,0.7837837837837838,0.7272727272727273,0.054054054054054,1.0,1.0,0.0,2.0,1.0
