# Top Lineup Score: 354.5
# Cash Score: 254.25
# Top 3 Lineups:
# Rank 1: 354.5 - C Rudy Gobert F Franz Wagner G Jimmy Butler PF Julius Randle PG Mike Conley SF Aaron Nesmith SG Quenton Jackson UTIL Amen Thompson
# Rank 2: 351.5 - C Rudy Gobert F Julius Randle G Amen Thompson PF Miles Bridges PG Mike Conley SF Jimmy Butler SG Quenton Jackson UTIL Wendell Carter Jr.
# Rank 3: 350.5 - C Rudy Gobert F Paolo Banchero G Amen Thompson PF Miles Bridges PG Mike Conley SF Jimmy Butler SG Quenton Jackson UTIL Jabari Smith Jr.


Player Name,Actual Score,Ownership,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
LaMelo Ball,40.25,24.12,1.2196969696969697,0.8787878787878788,0.0,40.25,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pascal Siakam,42.75,11.7,1.125,0.868421052631579,0.0,42.75,38.0,0.0,0.0,0.8947368421052632,0.36363636363636365,0.18421052631578946,0.2726090869954478,3.0,0.0,4.0,0.0
Alperen Sengun,48.0,15.5,1.5,0.9354838709677419,0.0,46.5,31.0,3.25,0.06989247311827956,1.1612903225806452,0.2,0.2903225806451613,0.19075268208972637,2.0,0.1111111111111111,6.0,1.0
Anthony Edwards,0.0,0.01,,,,,,,,,,,,,,,
Paolo Banchero,53.25,31.09,1.9903846153846154,1.3461538461538463,0.0,51.75,26.0,0.0,0.0,1.4230769230769231,0.75,0.46153846153846156,0.2170208549974893,1.0,0.0,1.0,1.0
Stephen Curry,28.5,18.55,0.9827586206896551,1.0689655172413792,0.0,28.5,29.0,1.5,0.05263157894736842,1.103448275862069,0.75,0.20689655172413793,0.10989412347103156,1.0,0.3333333333333333,2.0,1.0
Kevin Durant,38.5,4.77,1.2833333333333334,0.9666666666666667,0.0,38.5,30.0,0.0,0.0,0.9,0.25,0.36666666666666664,0.2629713712279126,1.0,0.0,3.0,0.0
Jaylen Brown,21.5,8.08,0.9772727272727273,1.0,0.0,21.5,22.0,0.0,0.0,0.8181818181818182,0.2857142857142857,0.18181818181818182,0.20497722376628452,1.0,0.0,1.0,1.0
Julius Randle,47.25,38.45,1.4765625,1.125,0.0,47.25,32.0,0.0,0.0,0.96875,0.2857142857142857,0.28125,0.15487194443540284,3.0,0.2222222222222222,4.0,1.0
Derrick White,15.0,3.66,0.7894736842105263,0.3684210526315789,0.0,15.0,19.0,0.0,0.0,0.6842105263157895,0.5,0.0,0.0,0.0,0.0,2.0,1.0
Miles Bridges,50.5,7.69,1.364864864864865,0.9459459459459459,0.0,50.5,37.0,2.75,0.054455445544554455,0.7567567567567568,0.8333333333333334,0.16216216216216217,0.121586522705877,3.0,0.3333333333333333,2.0,1.0
Franz Wagner,48.0,18.91,1.5483870967741935,1.032258064516129,0.0,48.0,31.0,1.0,0.020833333333333332,0.967741935483871,0.42857142857142855,0.2903225806451613,0.26564962939711173,1.0,0.0,4.0,0.0
Jimmy Butler,47.0,33.28,,,,,,,,,,,,,,,
Kyshawn George,22.75,16.96,0.9479166666666666,0.9166666666666666,0.0,22.75,24.0,1.5,0.06593406593406594,0.8333333333333334,0.25,0.20833333333333334,0.08973869972430104,1.0,0.0,3.0,1.0
Amen Thompson,39.25,38.72,1.2265625,0.875,0.0,39.25,32.0,0.0,0.0,0.90625,0.0,0.21875,0.12227674359396565,3.0,0.0,3.0,1.0
Alexandre Sarr,28.0,17.17,,,,,,,,,,,,,,,
Brandon Miller,0.0,,,,,,,,,,,,,,,,
Desmond Bane,17.0,12.13,0.85,0.5,0.0,17.0,20.0,0.0,0.0,0.3,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0
Donte DiVincenzo,32.25,14.9,1.0403225806451613,0.7096774193548387,0.0,32.25,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
