# Top Lineup Score: 336.25
# Cash Score: 257.50
# Top 3 Lineups:
# Rank 1: 336.25 - C Jusuf Nurkic F Miles Bridges G Cam Spencer PF Scottie Barnes PG Collin Sexton SF Kon Knueppel SG Quentin Grimes UTIL Josh Giddey
# Rank 1: 336.25 - C Jusuf Nurkic F Miles Bridges G Cam Spencer PF Scottie Barnes PG Collin Sexton SF Kon Knueppel SG Quentin Grimes UTIL Josh Giddey
# Rank 3: 335.0 - C Jusuf Nurkic F Kelly Oubre Jr. G Josh Giddey PF Scottie Barnes PG Quentin Grimes SF Cedric Coward SG Collin Sexton UTIL Nic Claxton


Player Name,Actual Score,Ownership,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Victor Wembanyama,30.75,39.21,0.9044117647058824,0.5,0.0,30.75,34.0,7.5,0.24390243902439024,0.9705882352941176,0.4,0.0,0.0,0.0,0.0,4.0,0.0
LaMelo Ball,0.0,0.13,,,,,,,,,,,,,,,
Tyrese Maxey,47.5,33.22,1.2179487179487178,0.8717948717948718,0.0,47.5,39.0,4.75,0.1,0.8205128205128205,0.5,0.20512820512820512,0.1366361827891626,1.0,0.125,3.0,0.0
Devin Booker,50.5,5.37,1.4428571428571428,1.3142857142857143,0.0,50.5,35.0,2.75,0.054455445544554455,0.8285714285714286,0.0,0.37142857142857144,0.2359426187691138,2.0,0.23076923076923078,2.0,1.0
Ja Morant,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Mobley,38.5,7.73,1.1,0.6285714285714286,0.0,38.5,35.0,2.0,0.05194805194805195,0.8285714285714286,0.2,0.11428571428571428,0.06833087745994962,4.0,0.5,4.0,0.0
Trae Young,0.0,,,,,,,,,,,,,,,,
Donovan Mitchell,55.5,2.19,1.5416666666666667,1.25,0.0,55.5,36.0,3.0,0.05405405405405406,0.8888888888888888,0.7777777777777778,0.2777777777777778,0.14358405563133603,3.0,0.2,5.0,0.0
Josh Giddey,63.0,18.36,1.506578947368421,1.0263157894736843,0.0,57.25,38.0,5.25,0.09170305676855896,0.9736842105263158,0.3333333333333333,0.2894736842105263,0.14597658434517816,2.0,0.2727272727272727,3.0,1.0
Jalen Brunson,46.75,12.14,1.4609375,1.125,0.0,46.75,32.0,2.0,0.0427807486631016,1.15625,0.5,0.4375,0.08212495295627542,1.0,0.2857142857142857,3.0,1.0
Karl-Anthony Towns,52.25,17.48,1.4097222222222223,0.7222222222222222,0.0,50.75,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Johnson,48.75,15.41,1.35,0.9142857142857143,0.0,47.25,35.0,3.5,0.07407407407407407,1.0571428571428572,0.125,0.17142857142857143,0.1403415660677608,1.0,0.16666666666666666,4.0,0.0
Nikola Vucevic,44.0,1.95,1.328125,0.75,0.0,42.5,32.0,11.75,0.27647058823529413,0.9375,0.25,0.15625,0.060879313478460303,1.0,0.4,2.0,1.0
Jaren Jackson Jr.,35.25,7.91,1.1015625,0.78125,0.0,35.25,32.0,6.25,0.1773049645390071,0.90625,0.42857142857142855,0.25,0.15848648747669405,4.0,0.375,6.0,0.0
Lauri Markkanen,43.75,22.6,1.3257575757575757,0.9696969696969697,0.0,43.75,33.0,2.75,0.06285714285714286,1.0909090909090908,0.4666666666666667,0.12121212121212122,0.11006841842905679,3.0,0.0,3.0,1.0
