LineStarId,Name,Position,Team,Salary,Projected,Scored,IsOverridden,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,DFS_ID,Vegas,VegasML,VegasTotals,VegasImplied
1473427,Nikola Jokic,C,DEN,12800,63.85,67.5,0,7,30,78.11,53.67,1,92,10.6,61.48,246,190,9,0,69,@MIN,830650,-1.5,-115,236.5,119.0,
1473428,Luka Doncic,PG,LAL,12000,59.75,68.25,0,29,30,73.41,47.75,1,91,13.6,58.5,169,180,4,0,64.4,@MIL,1121277,1.5,102,229.5,114.0,
1473429,Giannis Antetokounmpo,PF,MIL,11500,61.42,53.5,0,27,30,74.55,52.04,1,91,35.9,57.91,62,222,5,0,62,vs LAL,739957,-1.5,-122,229.5,115.5,
1473430,Shai Gilgeous-Alexander,PG,OKC,10700,49.17,53.5,0,8,30,64.57,41.49,1,92,12.1,51.39,146,153,0,0,54,@CHA,1067856,-17.5,-1600,224.5,121.0,
1473431,LaMelo Ball,PG,CHA,9800,0,0,0,28,30,0,0,4,0,0,0,0,0,0,0,50.3,vs OKC,1257420,17.5,900,224.5,103.5,
1473432,Pascal Siakam,SF/PF,IND,9700,40.69,46,0,8,30,55.29,31.71,1,88,6.5,43.59,208,116,-1,0,44.1,vs TOR,853408,6.5,205,235.5,114.5,
1473433,LeBron James,PF,LAL,9300,0,0,0,23,30,0,0,4,0,0,0,0,0,0,0,0,@MIL,214152,1.5,102,229.5,114.0,
1473434,Anthony Edwards,SG,MIN,8800,39.56,53.5,0,2,30,56.31,29.66,1,89,39.9,45.94,31,152,4,0,41.2,vs DEN,1175367,1.5,-105,236.5,117.5,
1473435,Scottie Barnes,PF,TOR,8700,44.24,41.25,0,15,30,57.53,30.09,1,89,10.7,40.93,116,121,5,0,44.7,@IND,1251666,-6.5,-250,235.5,121.0,
1473436,Miles Bridges,PF,CHA,8600,40.68,27.5,0,25,30,47.6,26.21,1,88,8.3,39.25,132,108,6,0,40.8,vs OKC,957479,17.5,900,224.5,103.5,
1473437,Austin Reaves,PG/SG,LAL,8400,47.87,47.5,0,13,30,59.5,27.62,1,88,29,41.4,43,142,9,0,50.3,@MIL,953291,1.5,102,229.5,114.0,
1473438,Julius Randle,PF,MIN,8200,37.1,49,0,8,30,53.03,31.56,1,89,12.7,39.64,84,115,0,0,47.5,vs DEN,786412,1.5,-105,236.5,117.5,
1473439,Jamal Murray,PG,DEN,8000,38.7,51,0,27,30,48.3,29.36,1,88,4.2,39.01,240,105,5,0,40.4,@MIN,891352,-1.5,-115,236.5,119.0,
1473440,Brandon Ingram,SG,TOR,7800,35.55,33.25,0,17,30,43.5,26.22,1,88,14.2,36.4,63,105,4,0,36.3,@IND,887665,-6.5,-250,235.5,121.0,
1473441,Jalen Williams,SF,OKC,7700,0,0,0,26,30,0,0,4,0,0,0,0,0,0,0,0,@CHA,1182404,-17.5,-1600,224.5,121.0,
1473442,Chet Holmgren,PF,OKC,7500,33.97,40,0,7,30,44.54,21.08,1,86,9.8,35.83,88,93,-2,0,36.2,@CHA,1343009,-17.5,-1600,224.5,121.0,
1473443,RJ Barrett,SF,TOR,7200,31.54,36.5,0,1,30,41.93,24.79,1,87,12.6,33.94,61,95,2,0,33.9,@IND,1132031,-6.5,-250,235.5,121.0,
1473444,Immanuel Quickley,PG,TOR,7000,29.73,26.25,0,22,30,42.29,23.93,1,87,10.9,33.06,68,90,0,0,33.9,@IND,1134175,-6.5,-250,235.5,121.0,
1473445,Brandon Miller,SF,CHA,6800,0,0,0,30,30,0,0,4,0,0,0,0,0,0,0,22.3,vs OKC,1401381,17.5,900,224.5,103.5,
1473446,Deandre Ayton,C,LAL,6800,35.29,38.5,0,8,30,42.56,15.5,1,84,3.9,30.85,190,78,7,0,30,@MIL,1061507,1.5,102,229.5,114.0,
1473447,Isaiah Hartenstein,C,OKC,6800,35.99,37,0,14,30,44.36,20.11,1,86,6.5,34.12,120,89,1,0,34.6,@CHA,1057004,-17.5,-1600,224.5,121.0,
1473448,Andrew Nembhard,PG,IND,6800,33.17,38,0,6,30,35.32,15.31,1,84,14.3,33.09,48,86,-4,0,29.7,vs TOR,1134158,6.5,205,235.5,114.5,
1473449,Kon Knueppel,SG/SF,CHA,6600,31.39,20,0,2,30,45.37,19,1,79,11,31.11,65,81,-1,0,32.2,vs OKC,1519132,17.5,900,224.5,103.5,
1473450,Ajay Mitchell,PG/SG,OKC,6600,26.46,30.5,0,15,30,39.09,13.79,2,79,8.2,28.1,75,66,7,0,31.6,@CHA,1340238,-17.5,-1600,224.5,121.0,
1473451,Collin Sexton,PG/SG,CHA,6400,24.63,24.5,0,1,30,37.06,20.41,1,86,9.3,29.87,63,76,2,0,27,vs OKC,1061642,17.5,900,224.5,103.5,
1473452,Kevin Porter Jr.,PG,MIL,6400,0,0,0,21,30,0,0,4,0,0,0,0,0,0,0,16,vs LAL,1135158,-1.5,-122,229.5,115.5,
1473453,Ryan Rollins,PG,MIL,6300,30.89,18.25,0,2,30,43.1,15.96,1,72,21.7,31.36,31,82,16,0,34.7,vs LAL,1232221,-1.5,-122,229.5,115.5,
1473454,Aaron Nesmith,SG/SF,IND,6300,0,0,0,8,30,0,0,4,0,0,0,0,0,0,0,26.6,vs TOR,1134264,6.5,205,235.5,114.5,
1473455,Bennedict Mathurin,SG,IND,6200,0,0,0,14,30,0,0,4,0,0,0,0,0,0,0,44.3,vs TOR,1239596,6.5,205,235.5,114.5,
1473456,Myles Turner,C,MIL,6200,29.45,16.5,0,2,30,36.06,18.91,1,86,11.9,29.6,50,81,2,0,30,vs LAL,843762,-1.5,-122,229.5,115.5,
1473457,Aaron Gordon,PF,DEN,6000,24.3,48,0,3,30,43.33,18.14,1,86,11.3,30.65,52,76,3,0,31,@MIN,748788,-1.5,-115,236.5,119.0,
1473458,Rudy Gobert,C,MIN,6000,32.45,15.5,0,6,30,38.97,16.44,1,86,10.5,32.53,59,84,-5,0,29.8,vs DEN,739960,1.5,-105,236.5,117.5,
1473459,Jaden McDaniels,SF,MIN,5900,33.06,33,0,21,30,39.33,20.98,1,85,8.8,27.39,67,82,0,0,31.1,vs DEN,1177013,1.5,-105,236.5,117.5,
1473460,Donte DiVincenzo,PG,MIN,5800,28.87,18.25,0,28,30,35.94,17.56,1,85,6.2,29.26,88,74,5,0,28.8,vs DEN,887915,1.5,-105,236.5,117.5,
1473461,Aaron Wiggins,SF/PF,OKC,5800,0,0,0,26,30,0,0,4,0,0,0,0,0,0,0,26,@CHA,1133788,-17.5,-1600,224.5,121.0,
1473462,Christian Braun,SG,DEN,5700,0,0,0,9,30,0,0,4,0,0,0,0,0,0,0,23.1,@MIN,1174878,-1.5,-115,236.5,119.0,
1473463,Jarace Walker,SF/PF,IND,5700,23.56,23,0,28,30,30.01,7.84,1,66,8.2,26.13,55,52,4,0,23.4,vs TOR,1402709,6.5,205,235.5,114.5,
1473464,Jakob Poeltl,C,TOR,5600,27,38.25,0,9,30,40.29,18.46,1,85,10.2,29.81,53,77,-1,0,23.7,@IND,844478,-6.5,-250,235.5,121.0,
1473465,Bobby Portis,PF/C,MIL,5600,22.08,16.5,0,2,30,26.4,14.98,2,84,2.3,23.39,175,57,-1,0,19.3,vs LAL,750703,-1.5,-122,229.5,115.5,
1473466,Rui Hachimura,PF,LAL,5500,0,0,0,23,30,0,0,4,0,0,0,0,0,0,0,24.6,@MIL,955893,1.5,102,229.5,114.0,
1473467,Jake LaRavia,SF/PF,LAL,5400,26.83,16.5,0,27,30,33.71,9.91,1,80,16.5,24.39,28,64,3,0,23.3,@MIL,1175125,1.5,102,229.5,114.0,
1473468,Quenton Jackson,PG,IND,5400,0,0,0,14,30,0,0,4,0,0,0,0,0,0,0,24.2,vs TOR,1195699,6.5,205,235.5,114.5,
1473469,Kyle Kuzma,SF/PF,MIL,5400,23.17,1.75,0,22,30,35.05,10.42,1,84,13.1,27.88,36,64,7,0,26.1,vs LAL,844476,-1.5,-122,229.5,115.5,
1473470,Tre Mann,PG/SG,CHA,5200,22.86,17,0,17,30,29.98,9.83,2,75,12,25.72,34,57,2,0,21.4,vs OKC,1175356,17.5,900,224.5,103.5,
1473471,Obi Toppin,PF/C,IND,5200,0,0,0,15,30,0,0,4,0,0,0,0,0,0,0,26.3,vs TOR,1076274,6.5,205,235.5,114.5,
1473472,Cason Wallace,PG/SG,OKC,5100,19.01,24,0,16,30,29.12,11.19,1,83,2.3,20.95,153,48,2,0,22,@CHA,1408195,-17.5,-1600,224.5,121.0,
1473473,Naz Reid,PF/C,MIN,5100,25.59,34.5,0,10,30,32.64,17.43,2,85,17.7,26.38,24,76,1,0,25.3,vs DEN,1137200,1.5,-105,236.5,117.5,
1473474,Cameron Johnson,SF,DEN,4900,0,0,0,18,30,0,0,4,0,0,0,0,0,0,0,14.6,@MIN,843005,-1.5,-115,236.5,119.0,
1473475,Marcus Smart,SF,LAL,4900,0,0,0,15,30,0,0,4,0,0,0,0,0,0,0,22.3,@MIL,697132,1.5,102,229.5,114.0,
1473476,Ryan Kalkbrenner,C,CHA,4800,21.67,25.75,0,1,30,33.38,17.02,1,87,16.6,23.38,23,68,-1,0,25.2,vs OKC,1236052,17.5,900,224.5,103.5,
1473477,Luguentz Dort,SF,OKC,4800,18.05,11.5,0,20,30,26.84,11.51,1,82,2.6,19.11,118,45,2,0,17.9,@CHA,1134693,-17.5,-1600,224.5,121.0,
1473478,Isaiah Joe,SG,OKC,4700,20.71,14.75,0,11,30,26.81,5.82,2,79,12.3,22.69,27,49,7,0,25,@CHA,1134010,-17.5,-1600,224.5,121.0,
1473479,T.J. McConnell,PG,IND,4700,15.35,16.25,0,23,30,28.53,11.09,2,82,3.4,19.84,88,44,0,0,14.3,vs TOR,551787,6.5,205,235.5,114.5,
1473480,Cole Anthony,PG/SG,MIL,4600,17.49,19.75,0,21,30,29.27,7.39,2,79,2.9,19.35,105,41,3,0,22.9,vs LAL,1185943,-1.5,-122,229.5,115.5,
1473481,Peyton Watson,SF/PF,DEN,4600,21.88,21.25,0,28,30,23.74,7.11,1,80,2.9,21.05,106,46,9,0,16.9,@MIN,1326502,-1.5,-115,236.5,119.0,
1473482,Moussa Diabate,C,CHA,4600,19.33,37.25,0,2,30,31.45,18.05,2,78,5.2,22.83,65,56,-2,0,25.2,vs OKC,1324359,17.5,900,224.5,103.5,
1473483,Isaiah Jackson,C,IND,4500,16.96,14.5,0,13,30,29.45,8.49,2,67,2.3,20.5,131,39,1,0,18.9,vs TOR,1245934,6.5,205,235.5,114.5,
1473484,Gary Trent Jr.,SF,MIL,4500,14.84,16,0,24,30,36.45,8.8,2,82,2.9,15.96,104,37,-1,0,18.5,vs LAL,1060908,-1.5,-122,229.5,115.5,
1473485,Ben Sheppard,SG,IND,4500,16.03,10.25,0,14,30,23.51,4.68,2,73,2.9,16.59,87,33,3,0,16.5,vs TOR,1175324,6.5,205,235.5,114.5,
1473486,Alex Caruso,SG/SF,OKC,4500,18.26,0,0,26,30,27.72,13.78,2,84,4.6,18.99,64,49,2,0,18.5,@CHA,697644,-17.5,-1600,224.5,121.0,
1473487,Grant Williams,PF/C,CHA,4400,0,0,0,24,30,0,0,4,0,0,0,0,0,0,0,0,vs OKC,949273,17.5,900,224.5,103.5,
1473488,Collin Murray-Boyles,PF/C,TOR,4400,14.53,15.5,0,22,30,30.1,6.07,2,66,3.4,17.99,81,33,3,0,18.1,@IND,1465110,-6.5,-250,235.5,121.0,
1473489,Jeremiah Robinson-Earl,PF/C,IND,4300,21.49,13,0,28,30,29.76,9.33,1,65,36.3,22.76,9,60,7,0,16.4,vs TOR,1176176,6.5,205,235.5,114.5,
1473490,Mike Conley,PG,MIN,4200,13.68,9.75,0,4,30,22.86,7.92,2,86,2.3,14.56,93,34,-2,0,16.4,vs DEN,329468,1.5,-105,236.5,117.5,
1473491,Jarred Vanderbilt,PF,LAL,4200,16.65,1.75,0,23,30,26.31,5.15,2,79,12.7,19.99,21,42,5,0,17.1,@MIL,1067852,1.5,102,229.5,114.0,
1473492,Jaylin Williams,C,OKC,4100,0,0,0,29,30,0,0,4,0,0,0,0,0,0,0,17.7,@CHA,1231367,-17.5,-1600,224.5,121.0,
1473493,Sandro Mamukelashvili,C,TOR,4000,18.39,26,0,12,30,27.18,10.13,2,67,5.8,17.15,43,40,6,0,18.2,@IND,1060351,-6.5,-250,235.5,121.0,
1473494,Gabe Vincent,PG/SG,LAL,4000,0,0,0,7,30,0,0,4,0,0,0,0,0,0,0,10.4,@MIL,851253,1.5,102,229.5,114.0,
1473495,AJ Green,SG,MIL,3900,20.63,20.75,0,29,30,25.11,13.39,1,72,14.7,17.6,17,51,2,0,18.2,vs LAL,1141111,-1.5,-122,229.5,115.5,
1473496,Tim Hardaway Jr.,SG/SF,DEN,3900,17.69,32.75,0,10,30,25.12,10.04,1,80,38.7,19.92,6,59,7,0,17.8,@MIN,551771,-1.5,-115,236.5,119.0,
1473497,Sion James,SG,CHA,3900,14.98,7.5,0,11,30,24.93,9.7,1,74,9.8,18.57,23,41,3,0,17.3,vs OKC,1232338,17.5,900,224.5,103.5,
1473498,Dalton Knecht,SG/SF,LAL,3900,17.47,26,0,15,30,24.17,2.3,2,73,5.2,16.54,44,33,4,0,12.8,@MIL,1324634,1.5,102,229.5,114.0,
1473499,Bruce Brown,PG/SG,DEN,3800,13.71,16.5,0,18,30,27.04,9.58,2,82,28.4,20.5,8,51,3,0,16,@MIN,941834,-1.5,-115,236.5,119.0,
1473500,Jamal Shead,PG,TOR,3700,16.93,17.5,0,25,30,28.31,13.09,2,80,14.5,17.82,16,49,3,0,17.7,@IND,1231795,-6.5,-250,235.5,121.0,
1473501,Cody Martin,SG/SF,IND,3700,7.9,0,0,14,30,16.15,5.51,2,82,1.2,5.78,55,18,3,0,9.4,vs TOR,842971,6.5,205,235.5,114.5,
1473502,KJ Simpson,PG,CHA,3700,9.15,21.25,0,28,30,27.83,7.32,2,77,2.3,11.64,78,25,0,0,12.6,vs OKC,1323636,17.5,900,224.5,103.5,
1473503,Jay Huff,PF/C,IND,3600,12.73,14.25,0,13,30,27.8,2.45,2,67,2.6,13.5,75,25,7,0,14.6,vs TOR,942843,6.5,205,235.5,114.5,
1473504,Ousmane Dieng,PF,OKC,3600,6.32,6,0,26,30,10.42,0.7,2,57.99999999999999,2.3,8.7,40,13,6,0,6.9,@CHA,1375876,-17.5,-1600,224.5,121.0,
1473505,Josh Green,SF,CHA,3600,0,0,0,17,30,0,0,4,0,0,0,0,0,0,0,0,vs OKC,1193670,17.5,900,224.5,103.5,
1473506,Nick Smith Jr.,SG/SF,LAL,3500,7.08,7,0,7,30,32.81,5.66,2,75,2.3,8.23,73,19,1,0,13.8,@MIL,1401374,1.5,102,229.5,114.0,
1473507,Jonas Valanciunas,C,DEN,3500,17.72,18.5,0,9,30,26.83,9.95,2,83,23.2,17.65,9,51,-1,0,17.9,@MIN,599780,-1.5,-115,236.5,119.0,
1473508,Tony Bradley,C,IND,3400,13,7.75,0,27,30,16.12,4.54,1,64,26.4,17.44,6,36,5,0,12,vs TOR,950065,6.5,205,235.5,114.5,
1473509,Terrence Shannon Jr.,SG/SF,MIN,3400,0,0,0,23,30,0,0,4,0,0,0,0,0,0,0,9.6,vs DEN,1182148,1.5,-105,236.5,117.5,
1473510,Jaxson Hayes,C,LAL,3400,8.35,22,0,6,30,16.6,4.4,2,73,2.3,12.84,56,23,0,0,12.7,@MIL,1140887,1.5,102,229.5,114.0,
1473511,Spencer Jones,SG/SF,DEN,3400,12.69,7,0,18,30,13.959000000000001,0,2,45,4.4,13.43,31,20,5,0,4.1,@MIN,1176586,-1.5,-115,236.5,119.0,
1473512,Monte Morris,PG,IND,3300,10.8,3.75,0,23,30,14.87,4.01,2,71,3.5,13.5,37,25,3,0,9.8,vs TOR,741011,6.5,205,235.5,114.5,
1473513,Taurean Prince,SF,MIL,3300,0,0,0,6,30,0,0,4,0,0,0,0,0,0,0,12.1,vs LAL,696209,-1.5,-122,229.5,115.5,
1473514,Gradey Dick,SG/SF,TOR,3300,14,18.5,0,15,30,22.8,5.33,2,80,9.6,13.61,17,32,2,0,12.2,@IND,1416377,-6.5,-250,235.5,121.0,
1473515,Maxi Kleber,PF/C,LAL,3300,4.18,9.25,0,23,30,15.45,3.34,2,75,2.3,5.49,36,12,1,0,9.8,@MIL,1072048,1.5,102,229.5,114.0,
1473516,Pat Connaughton,SF/PF,CHA,3300,7.01,12,0,17,30,27.63,0,2,75,2.6,9.94,57,15,2,0,8,vs OKC,601514,17.5,900,224.5,103.5,
1473517,RayJ Dennis,PG,IND,3200,5.35,6.5,0,23,30,25.26,0.49,2,53,2.3,4.68,49,8,-2,0,13.2,vs TOR,1194704,6.5,205,235.5,114.5,
1473518,Jaylen Clark,SG/SF,MIN,3200,9.22,5.5,0,20,30,13.62,3.56,2,71,7.9,11.98,14,23,-2,0,11.3,vs DEN,1231198,1.5,-105,236.5,117.5,
1473519,Bronny James,PG/SG,LAL,3200,13.08,4.75,0,29,30,17.12,0,1,61,2.3,11.33,58,20,-1,0,8.1,@MIL,1463593,1.5,102,229.5,114.0,
1473520,Mason Plumlee,C,CHA,3200,2.81,2.75,0,2,30,17.75,2.37,2,79,2.3,4.04,34,8,-7,0,2.3,vs OKC,510790,17.5,900,224.5,103.5,
1473521,Julian Strawther,SG/SF,DEN,3200,4.96,1.25,0,18,30,13.47,0.56,2,71,7,12.33,14,16,3,0,7.1,@MIN,1241584,-1.5,-115,236.5,119.0,
1473522,Liam McNeeley,PF,CHA,3100,0,0,0,30,30,0,0,4,0,0,0,0,0,0,0,9,vs OKC,1522910,17.5,900,224.5,103.5,
1473523,Jamison Battle,SF/PF,TOR,3100,0,0,0,20,30,0,0,4,0,0,0,0,0,0,0,6.7,@IND,1174935,-6.5,-250,235.5,121.0,
1473524,Rob Dillingham,PG,MIN,3100,7.87,8,0,4,30,13.76,1.96,2,62,2.3,9.18,42,16,-1,0,10.3,vs DEN,1429354,1.5,-105,236.5,117.5,
1473525,Ja'Kobe Walter,PG/SG,TOR,3100,7.17,8,0,15,30,28.33,4.49,2,80,2.3,7.09,57,17,1,0,7.1,@IND,1458461,-6.5,-250,235.5,121.0,
1473526,Jericho Sims,C,MIL,3000,3.42,8,0,14,30,11.72,0.72,2,65,2,4.93,30,8,1,0,3.7,vs LAL,1071933,-1.5,-122,229.5,115.5,
1473527,Amir Coffey,SG/SF,MIL,3000,4.65,3.5,0,6,30,8.89,0.23,2,77,2.3,2.74,21,7,0,0,4,vs LAL,944822,-1.5,-122,229.5,115.5,
1473528,Antonio Reeves,SF,CHA,3000,0,13,0,17,30,0,0,2,0,2.6,6.24,0,0,0,0,0,vs OKC,1193678,17.5,900,224.5,103.5,
1473529,Rocco Zikarsky,C,MIN,3000,0,0,0,10,30,0,0,4,0,0,0,0,0,0,0,0,vs DEN,1502168,1.5,-105,236.5,117.5,
1473530,Drew Peterson,SF/PF,CHA,3000,0,0,0,24,30,0,0,4,0,0,0,0,0,0,0,0,vs OKC,1134571,17.5,900,224.5,103.5,
1473531,Leonard Miller,PF,MIN,3000,3.49,0,0,23,30,7.16,0,2,6,1.8,1.13,18,2,-2,0,3.9,vs DEN,1376841,1.5,-105,236.5,117.5,
1473532,Alex Antetokounmpo,SF/PF,MIL,3000,0,0,0,6,30,0,0,4,0,0,0,0,0,0,0,0,vs LAL,1350009,-1.5,-122,229.5,115.5,
1473533,Mark Sears,PG,MIL,3000,4.02,4.25,0,21,30,8.76,0,2,23,1.8,0,19,5,4,0,4.3,vs LAL,1253947,-1.5,-122,229.5,115.5,
