PG,SG,SF,PF,C,G,F,UTIL,
40745586,40745669,40745664,40745830,40745667,40745645,40745776,40745887,
40745821,40745669,40745664,40745776,40745652,40745645,40745604,40745746,
40745941,40745645,40745625,40745830,40745667,40745586,40745664,40745883,
40745586,40745746,40745664,40745973,40745667,40745645,40745830,40745652,
40745645,40745639,40745664,40745973,40745652,40745794,40745625,40745654,
40745586,40745669,40745664,40745776,40745971,40745645,40745936,40745613,
40745645,40745639,40745664,40745830,40745628,40745669,40745998,40745652,
40745586,40745669,40745664,40745947,40745667,40745645,40746046,40745652,
40745586,40745941,40745936,40745830,40745652,40745645,40745613,40745669,
40746027,40745821,40745664,40745973,40745652,40745586,40745604,40745645,
40745586,40745966,40745664,40745776,40745652,40745645,40745998,40745613,
40745941,40745669,40745625,40745607,40745652,40745645,40745963,40745654,
40745642,40745639,40745664,40745592,40745652,40745645,40746046,40745977,
40746060,40745639,40745664,40745805,40745652,40745645,40745830,40745586,
40745821,40745941,40745664,40745990,40745652,40745645,40745613,40745586,
40745821,40745669,40745936,40745613,40745652,40745645,40745966,40745586,
40745586,40745669,40745664,40745607,40745792,40745645,40745977,40745933,
40746027,40745669,40745664,40745589,40745652,40745645,40745977,40745642,
40745586,40745669,40745664,40746046,40745667,40745645,40746157,40745639,
40745985,40745639,40745947,40745607,40745667,40745669,40745613,40745645,
,,,,,,,,
