Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,fppg_floor,fppg_ceiling,max_exposure,min_exposure,max_deviation,min_deviation
PG,Cade Cunningham (1232182),Cade Cunningham,1232182,PG/UTIL,11000,DET @ATL,DET,44.55,39.82,68.9,100,0,0,0
PF,Jalen Johnson (1230356),Jalen Johnson,1230356,PF/UTIL,9500,ATL vs DET,ATL,48.63,26.12,60.45,100,0,0,0
PG,Stephen Curry (338365),Stephen Curry,338365,PG/UTIL,9300,GSW @ORL,GSW,42.79,23.33,57.96,100,0,0,0
SF,Jaylen Brown (883436),Jaylen Brown,883436,SF/UTIL,8800,BOS @BKN,BOS,39.33,32.39,53.52,100,0,0,0
SF,Franz Wagner (1178131),Franz Wagner,1178131,SF/UTIL,8700,ORL vs GSW,ORL,43.02,33.22,46.41,100,0,0,0
PG,De'Aaron Fox (957489),De'Aaron Fox,957489,PG/UTIL,8300,SAS vs MEM,SAS,44.34,25.23,48.36,100,0,0,0
PF,Jimmy Butler (458730),Jimmy Butler,458730,PF/UTIL,8100,GSW @ORL,GSW,35.18,24.97,47.75,100,0,0,0
C,Jalen Duren (1344765),Jalen Duren,1344765,C/UTIL,8000,DET @ATL,DET,39.51,28.45,51.8,100,0,0,0
PF,Jaren Jackson Jr. (1078662),Jaren Jackson Jr.,1078662,PF/UTIL,8000,MEM @SAS,MEM,34.97,23.85,36.02,100,0,0,0
SF,Michael Porter Jr. (1061724),Michael Porter Jr.,1061724,SF/UTIL,7600,BKN vs BOS,BKN,39.03,20.5,49.31,100,0,0,0
PG,Dyson Daniels (1357745),Dyson Daniels,1357745,PG/UTIL,7500,ATL vs DET,ATL,34.39,20.15,40.29,100,0,0,0
SG,Desmond Bane (944263),Desmond Bane,944263,SG/UTIL,7300,ORL vs GSW,ORL,36.02,21.6,38.49,100,0,0,0
C,Onyeka Okongwu (1185367),Onyeka Okongwu,1185367,C/UTIL,7200,ATL vs DET,ATL,37.33,22.91,46.87,100,0,0,0
PG,Derrick White (796009),Derrick White,796009,PG/UTIL,7200,BOS @BKN,BOS,37.01,25.75,45.04,100,0,0,0
SG,Nickeil Alexander-Walker (1067668),Nickeil Alexander-Walker,1067668,SG/UTIL,6800,ATL vs DET,ATL,29.58,19.92,36.79,100,0,0,0
PF/C,Draymond Green (468895),Draymond Green,468895,PF/C/UTIL,6500,GSW @ORL,GSW,27.81,17.86,33.73,100,0,0,0
SF,Devin Vassell (1132051),Devin Vassell,1132051,SF/UTIL,6500,SAS vs MEM,SAS,31.69,16.74,33.41,100,0,0,0
C,Nic Claxton (1061682),Nic Claxton,1061682,C/UTIL,6400,BKN vs BOS,BKN,31.93,19.69,42.34,100,0,0,0
SF,Ausar Thompson (1429338),Ausar Thompson,1429338,SF/UTIL,6400,DET @ATL,DET,19.15,18.2,38.77,100,0,0,0
PG/SG,Payton Pritchard (945610),Payton Pritchard,945610,PG/SG/UTIL,6300,BOS @BKN,BOS,28.37,21.78,39.29,100,0,0,0
SG/SF,Cedric Coward (1351367),Cedric Coward,1351367,SG/SF/UTIL,6300,MEM @SAS,MEM,23.34,21.98,36.2,100,0,0,0
PG/SG,Brandin Podziemski (1324108),Brandin Podziemski,1324108,PG/SG/UTIL,6200,GSW @ORL,GSW,23.33,18.8,35.39,100,0,0,0
PG,Jalen Suggs (1241585),Jalen Suggs,1241585,PG/UTIL,6100,ORL vs GSW,ORL,27.96,13.87,35.73,100,0,0,0
PG,Daniss Jenkins (1182387),Daniss Jenkins,1182387,PG/UTIL,6000,DET @ATL,DET,14.73,0.0,31.55,100,0,0,0
C,Paul Reed (1076238),Paul Reed,1076238,C/UTIL,6000,DET @ATL,DET,14.12,0.85,31.62,100,0,0,0
C,Zach Edey (1231414),Zach Edey,1231414,C/UTIL,5900,MEM @SAS,MEM,27.67,18.44,40.28,100,0,0,0
SF,Moses Moody (1231366),Moses Moody,1231366,SF/UTIL,5700,GSW @ORL,GSW,24.81,6.46,35.35,100,0,0,0
PF/C,Isaiah Stewart (1177050),Isaiah Stewart,1177050,PF/C/UTIL,5600,DET @ATL,DET,27.69,9.71,38.2,100,0,0,0
PF/C,Santi Aldama (1177024),Santi Aldama,1177024,PF/C/UTIL,5500,MEM @SAS,MEM,29.16,22.25,35.71,100,0,0,0
SG/SF,Javonte Green (624174),Javonte Green,624174,SG/SF/UTIL,5400,DET @ATL,DET,14.26,5.3,27.45,100,0,0,0
C,Luke Kornet (745923),Luke Kornet,745923,C/UTIL,5400,SAS vs MEM,SAS,28.54,6.32,29.28,100,0,0,0
C,Wendell Carter Jr. (1060912),Wendell Carter Jr.,1060912,C/UTIL,5300,ORL vs GSW,ORL,26.58,20.04,35.09,100,0,0,0
SF/PF,Keldon Johnson (1134174),Keldon Johnson,1134174,SF/PF/UTIL,5200,SAS vs MEM,SAS,23.28,18.08,31.08,100,0,0,0
C,Neemias Queta (1142902),Neemias Queta,1142902,C/UTIL,5200,BOS @BKN,BOS,24.1,13.72,33.4,100,0,0,0
PF,Harrison Barnes (552336),Harrison Barnes,552336,PF/UTIL,5100,SAS vs MEM,SAS,23.15,13.68,31.32,100,0,0,0
SF/PF,Tristan da Silva (1232528),Tristan da Silva,1232528,SF/PF/UTIL,5000,ORL vs GSW,ORL,23.64,6.9,30.22,100,0,0,0
PG/SG,Anthony Black (1401385),Anthony Black,1401385,PG/SG/UTIL,4900,ORL vs GSW,ORL,20.24,12.94,29.56,100,0,0,0
SG,Duncan Robinson (854591),Duncan Robinson,854591,SG/UTIL,4900,DET @ATL,DET,21.43,9.33,30.85,100,0,0,0
SF/PF,Ronald Holland II (1501942),Ronald Holland II,1501942,SF/PF/UTIL,4800,DET @ATL,DET,18.36,9.6,26.99,100,0,0,0
PF,Noah Clowney (1401380),Noah Clowney,1401380,PF/UTIL,4700,BKN vs BOS,BKN,22.29,10.8,27.42,100,0,0,0
SG/SF,Julian Champagnie (1176070),Julian Champagnie,1176070,SG/SF/UTIL,4700,SAS vs MEM,SAS,25.75,14.22,30.96,100,0,0,0
C,Quinten Post (1193672),Quinten Post,1193672,C/UTIL,4700,GSW @ORL,GSW,9.92,3.67,23.15,100,0,0,0
PG/SG,Cam Spencer (1177001),Cam Spencer,1177001,PG/SG/UTIL,4600,MEM @SAS,MEM,9.35,8.92,27.83,100,0,0,0
SG,Kentavious Caldwell-Pope (602730),Kentavious Caldwell-Pope,602730,SG/UTIL,4500,MEM @SAS,MEM,10.01,8.01,23.66,100,0,0,0
PG/SG,Will Richard (1323578),Will Richard,1323578,PG/SG/UTIL,4500,GSW @ORL,GSW,18.9,7.08,27.0,100,0,0,0
C,Jock Landale (850308),Jock Landale,850308,C/UTIL,4500,MEM @SAS,MEM,12.94,10.35,27.2,100,0,0,0
SG/SF,Vit Krejci (1257428),Vit Krejci,1257428,SG/SF/UTIL,4500,ATL vs DET,ATL,18.36,4.32,28.78,100,0,0,0
PG/SG,Anfernee Simons (1121307),Anfernee Simons,1121307,PG/SG/UTIL,4500,BOS @BKN,BOS,21.31,13.19,31.9,100,0,0,0
SG,Terance Mann (879504),Terance Mann,879504,SG/UTIL,4400,BKN vs BOS,BKN,20.37,10.81,28.5,100,0,0,0
PF/C,Al Horford (280587),Al Horford,280587,PF/C/UTIL,4400,GSW @ORL,GSW,16.56,11.82,24.77,100,0,0,0
PF,Jeremy Sochan (1342728),Jeremy Sochan,1342728,PF/UTIL,4300,SAS vs MEM,SAS,17.75,9.02,28.92,100,0,0,0
