Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4936466115,NBA $4K Quarter Jukebox [Just $0.25!],184431691,$0.25,Ryan Rollins (40658690),Collin Sexton (40658674),Nickeil Alexander-Walker (40658705),Matas Buzelis (40658702),Ryan Kalkbrenner (40658741),VJ Edgecombe (40658648),Brandon Ingram (40658654),Tre Jones (40658725),,1. Column A lists all of your contest entries for this draftgroup
4936466722,NBA $4K Quarter Jukebox [Just $0.25!],184431691,$0.25,Tyrese Maxey (40658611),VJ Edgecombe (40658648),Nickeil Alexander-Walker (40658705),Matas Buzelis (40658702),Ryan Kalkbrenner (40658741),Tre Jones (40658725),Saddiq Bey (40658793),Ryan Rollins (40658690),,2. Your current lineup is listed next to each entry (blank for reservations)
,,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
,,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
,,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
,,,,,,,,,,,,,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PF,Giannis Antetokounmpo (40658608),Giannis Antetokounmpo,40658608,PF/F/UTIL,11500,MIL@TOR 11/04/2025 07:30PM ET,MIL,65.25
,,,,,,,,,,,,,PG,Tyrese Maxey (40658611),Tyrese Maxey,40658611,PG/G/UTIL,9900,PHI@CHI 11/04/2025 08:00PM ET,PHI,58.71
,,,,,,,,,,,,,PG,LaMelo Ball (40658614),LaMelo Ball,40658614,PG/G/UTIL,9800,CHA@NOP 11/04/2025 08:00PM ET,CHA,52.62
,,,,,,,,,,,,,PF,Paolo Banchero (40658617),Paolo Banchero,40658617,PF/F/UTIL,9300,ORL@ATL 11/04/2025 08:00PM ET,ORL,45.04
,,,,,,,,,,,,,PG,Trae Young (40658620),Trae Young,40658620,PG/G/UTIL,9200,ORL@ATL 11/04/2025 08:00PM ET,ATL,34.1
,,,,,,,,,,,,,PG,Josh Giddey (40658626),Josh Giddey,40658626,PG/G/UTIL,9100,PHI@CHI 11/04/2025 08:00PM ET,CHI,49.96
,,,,,,,,,,,,,PF,Zion Williamson (40658623),Zion Williamson,40658623,PF/F/UTIL,9000,CHA@NOP 11/04/2025 08:00PM ET,NOP,41.2
,,,,,,,,,,,,,PF,Jalen Johnson (40658629),Jalen Johnson,40658629,PF/F/UTIL,8600,ORL@ATL 11/04/2025 08:00PM ET,ATL,43.08
,,,,,,,,,,,,,PF,Miles Bridges (40658635),Miles Bridges,40658635,PF/F/UTIL,8300,CHA@NOP 11/04/2025 08:00PM ET,CHA,37.75
,,,,,,,,,,,,,PF,Scottie Barnes (40658632),Scottie Barnes,40658632,PF/F/UTIL,8200,MIL@TOR 11/04/2025 07:30PM ET,TOR,43.36
,,,,,,,,,,,,,C,Nikola Vucevic (40658638),Nikola Vucevic,40658638,C/UTIL,7900,PHI@CHI 11/04/2025 08:00PM ET,CHI,44.42
,,,,,,,,,,,,,SF,Franz Wagner (40658640),Franz Wagner,40658640,SF/F/UTIL,7700,ORL@ATL 11/04/2025 08:00PM ET,ORL,37.82
,,,,,,,,,,,,,SG,Coby White (40658643),Coby White,40658643,SG/G/UTIL,7600,PHI@CHI 11/04/2025 08:00PM ET,CHI,0
,,,,,,,,,,,,,C,Joel Embiid (40658646),Joel Embiid,40658646,C/UTIL,7600,PHI@CHI 11/04/2025 08:00PM ET,PHI,31.56
,,,,,,,,,,,,,SG,VJ Edgecombe (40658648),VJ Edgecombe,40658648,SG/G/UTIL,7500,PHI@CHI 11/04/2025 08:00PM ET,PHI,38.08
,,,,,,,,,,,,,PF,Paul George (40658651),Paul George,40658651,PF/F/UTIL,7400,PHI@CHI 11/04/2025 08:00PM ET,PHI,0
,,,,,,,,,,,,,SF,Brandon Ingram (40658654),Brandon Ingram,40658654,SF/F/UTIL,7300,MIL@TOR 11/04/2025 07:30PM ET,TOR,37.46
,,,,,,,,,,,,,SG,Trey Murphy III (40658657),Trey Murphy III,40658657,SG/G/UTIL,6900,CHA@NOP 11/04/2025 08:00PM ET,NOP,31.38
,,,,,,,,,,,,,C,Kristaps Porzingis (40658669),Kristaps Porzingis,40658669,C/UTIL,6800,ORL@ATL 11/04/2025 08:00PM ET,ATL,35.25
,,,,,,,,,,,,,SG,RJ Barrett (40658663),RJ Barrett,40658663,SG/G/UTIL,6800,MIL@TOR 11/04/2025 07:30PM ET,TOR,34.11
,,,,,,,,,,,,,SF,Brandon Miller (40658666),Brandon Miller,40658666,SF/F/UTIL,6800,CHA@NOP 11/04/2025 08:00PM ET,CHA,22.25
,,,,,,,,,,,,,PG/SG,Collin Sexton (40658674),Collin Sexton,40658674,PG/SG/G/UTIL,6700,CHA@NOP 11/04/2025 08:00PM ET,CHA,27.79
,,,,,,,,,,,,,SG,Dyson Daniels (40658671),Dyson Daniels,40658671,SG/G/UTIL,6600,ORL@ATL 11/04/2025 08:00PM ET,ATL,26.79
,,,,,,,,,,,,,SG,Desmond Bane (40658660),Desmond Bane,40658660,SG/G/UTIL,6500,ORL@ATL 11/04/2025 08:00PM ET,ORL,26
,,,,,,,,,,,,,PG,Kevin Porter Jr. (40658678),Kevin Porter Jr.,40658678,PG/G/UTIL,6500,MIL@TOR 11/04/2025 07:30PM ET,MIL,16
,,,,,,,,,,,,,PG,Immanuel Quickley (40658681),Immanuel Quickley,40658681,PG/G/UTIL,6500,MIL@TOR 11/04/2025 07:30PM ET,TOR,29.61
,,,,,,,,,,,,,PG/SG,Jordan Poole (40658684),Jordan Poole,40658684,PG/SG/G/UTIL,6400,CHA@NOP 11/04/2025 08:00PM ET,NOP,26.83
,,,,,,,,,,,,,PG/SG,Quentin Grimes (40658693),Quentin Grimes,40658693,PG/SG/G/UTIL,6300,PHI@CHI 11/04/2025 08:00PM ET,PHI,34.75
,,,,,,,,,,,,,C,Onyeka Okongwu (40658697),Onyeka Okongwu,40658697,C/UTIL,6200,ORL@ATL 11/04/2025 08:00PM ET,ATL,31.64
,,,,,,,,,,,,,C,Jakob Poeltl (40658688),Jakob Poeltl,40658688,C/UTIL,6200,MIL@TOR 11/04/2025 07:30PM ET,TOR,16.94
,,,,,,,,,,,,,C,Myles Turner (40658714),Myles Turner,40658714,C/UTIL,6200,MIL@TOR 11/04/2025 07:30PM ET,MIL,26.79
,,,,,,,,,,,,,SF,Kelly Oubre Jr. (40658699),Kelly Oubre Jr.,40658699,SF/F/UTIL,6100,PHI@CHI 11/04/2025 08:00PM ET,PHI,34.25
,,,,,,,,,,,,,PG,Ryan Rollins (40658690),Ryan Rollins,40658690,PG/G/UTIL,6100,MIL@TOR 11/04/2025 07:30PM ET,MIL,34.54
,,,,,,,,,,,,,PF,Matas Buzelis (40658702),Matas Buzelis,40658702,PF/F/UTIL,5900,PHI@CHI 11/04/2025 08:00PM ET,CHI,26.46
,,,,,,,,,,,,,PF/C,Bobby Portis (40658716),Bobby Portis,40658716,PF/C/F/UTIL,5900,MIL@TOR 11/04/2025 07:30PM ET,MIL,18.39
,,,,,,,,,,,,,PG/SG,Jared McCain (40658710),Jared McCain,40658710,PG/SG/G/UTIL,5800,PHI@CHI 11/04/2025 08:00PM ET,PHI,0
,,,,,,,,,,,,,PG/SF,Nickeil Alexander-Walker (40658705),Nickeil Alexander-Walker,40658705,PG/SF/F/G/UTIL,5800,ORL@ATL 11/04/2025 08:00PM ET,ATL,29.79
,,,,,,,,,,,,,SF/PF,Kyle Kuzma (40658730),Kyle Kuzma,40658730,SF/PF/F/UTIL,5700,MIL@TOR 11/04/2025 07:30PM ET,MIL,21.5
