Lineup,Players,Salary,Score
1,"Giannis Antetokounmpo, Cade Cunningham, Ryan Rollins, Jusuf Nurkic, Isaiah Stewart, Quenton Jackson, Tari Eason, Tyrese Martin",50000,4.1639694638610765
2,"Giannis Antetokounmpo, Derrick White, Keyonte George, Ryan Rollins, Jusuf Nurkic, Quenton Jackson, Tari Eason, Jonas Valanciunas",49900,4.158692431306729
3,"Giannis Antetokounmpo, Derrick White, Keyonte George, Ryan Rollins, Jusuf Nurkic, Quenton Jackson, Tari Eason, Tyrese Martin",49600,4.1961703557546794
4,"Giannis Antetokounmpo, Derrick White, Russell Westbrook, Ryan Rollins, Jusuf Nurkic, Isaiah Stewart, Quenton Jackson, Tari Eason",49600,4.104839899472525
5,"Giannis Antetokounmpo, Derrick White, Keyonte George, Russell Westbrook, Quenton Jackson, Tari Eason, Jonas Valanciunas, Tyrese Martin",48900,4.128885332498728
6,"Giannis Antetokounmpo, Cade Cunningham, Ryan Rollins, Jusuf Nurkic, Quenton Jackson, Tari Eason, Jonas Valanciunas, Tyrese Martin",49200,4.148921639836319
7,"Giannis Antetokounmpo, Karl-Anthony Towns, Keyonte George, Ryan Rollins, Quenton Jackson, Tari Eason, Jonas Valanciunas, Tyrese Martin",50000,4.141956694918612
8,"Giannis Antetokounmpo, Karl-Anthony Towns, Derrick White, Jusuf Nurkic, Isaiah Stewart, Quenton Jackson, Tari Eason, Tyrese Martin",49900,4.119847765521598
9,"Giannis Antetokounmpo, Keyonte George, Russell Westbrook, Ryan Rollins, Jusuf Nurkic, Quenton Jackson, Tari Eason, Tyrese Martin",48400,4.15406713681978
10,"Giannis Antetokounmpo, Karl-Anthony Towns, Keyonte George, Jusuf Nurkic, Isaiah Stewart, Quenton Jackson, Tari Eason, Tyrese Martin",49800,4.146644902445662
11,"Giannis Antetokounmpo, Cade Cunningham, Russell Westbrook, Jusuf Nurkic, Quenton Jackson, Tari Eason, Jonas Valanciunas, Tyrese Martin",49400,4.143066865684515
12,"Giannis Antetokounmpo, Keyonte George, Russell Westbrook, Ryan Rollins, Isaiah Stewart, Quenton Jackson, Tari Eason, Jonas Valanciunas",48600,4.070206787292441
13,"Giannis Antetokounmpo, Derrick White, Keyonte George, Ryan Rollins, Isaiah Stewart, Quenton Jackson, Tari Eason, Tyrese Martin",49500,4.149787930675289
14,"Giannis Antetokounmpo, Derrick White, Keyonte George, Russell Westbrook, Jusuf Nurkic, Quenton Jackson, Tari Eason, Tyrese Martin",49800,4.190315581602876
15,"Giannis Antetokounmpo, Lauri Markkanen, Keyonte George, Jusuf Nurkic, Isaiah Stewart, Quenton Jackson, Tari Eason, Tyrese Martin",49400,4.112556472530491
16,"Giannis Antetokounmpo, Cade Cunningham, Cedric Coward, Jusuf Nurkic, Isaiah Stewart, Quenton Jackson, Tari Eason, Tyrese Martin",49900,4.095852899430049
17,"Giannis Antetokounmpo, Karl-Anthony Towns, Russell Westbrook, Ryan Rollins, Jusuf Nurkic, Quenton Jackson, Tari Eason, Tyrese Martin",49800,4.1344865881637975
18,"Giannis Antetokounmpo, Derrick White, Keyonte George, Russell Westbrook, Isaiah Stewart, Quenton Jackson, Tari Eason, Tyrese Martin",49700,4.143933156523485
19,"Giannis Antetokounmpo, Keyonte George, Russell Westbrook, Ryan Rollins, Jusuf Nurkic, Isaiah Stewart, Quenton Jackson, Tari Eason",49500,4.131637036396589
20,"Giannis Antetokounmpo, Keyonte George, Cam Thomas, Ryan Rollins, Jusuf Nurkic, Quenton Jackson, Tari Eason, Tyrese Martin",49200,4.107657051157474
21,"Giannis Antetokounmpo, Derrick White, Russell Westbrook, Ryan Rollins, Jusuf Nurkic, Quenton Jackson, Tari Eason, Tyrese Martin",48500,4.127269999895716
22,"Giannis Antetokounmpo, Jamal Murray, Russell Westbrook, Ryan Rollins, Jusuf Nurkic, Quenton Jackson, Tari Eason, Tyrese Martin",49200,4.0885513528820265
23,"Giannis Antetokounmpo, Karl-Anthony Towns, Keyonte George, Jarace Walker, Quenton Jackson, Tari Eason, Jonas Valanciunas, Tyrese Martin",49900,4.055810441591557
24,"Giannis Antetokounmpo, Derrick White, Keyonte George, Russell Westbrook, Jusuf Nurkic, Quenton Jackson, Tari Eason, Noah Clowney",50000,4.075951989712404
25,"Giannis Antetokounmpo, Derrick White, Keyonte George, Russell Westbrook, Isaiah Stewart, Quenton Jackson, Tari Eason, Jonas Valanciunas",50000,4.106455232075536
26,"Giannis Antetokounmpo, Keyonte George, Ryan Rollins, Naz Reid, Jusuf Nurkic, Isaiah Stewart, Quenton Jackson, Tari Eason",49000,4.05292863413092
27,"Giannis Antetokounmpo, Keyonte George, Russell Westbrook, Ryan Rollins, Jusuf Nurkic, Quenton Jackson, Tari Eason, Daniel Gafford",49400,4.063403623788156
28,"Giannis Antetokounmpo, Derrick White, Keyonte George, Ryan Rollins, Quenton Jackson, Tari Eason, Jonas Valanciunas, Tyrese Martin",48700,4.134740106650531
29,"Giannis Antetokounmpo, Julius Randle, Keyonte George, Jusuf Nurkic, Isaiah Stewart, Quenton Jackson, Tari Eason, Tyrese Martin",50000,4.111087242760945
30,"Giannis Antetokounmpo, Derrick White, Keyonte George, Ryan Rollins, Jusuf Nurkic, Quenton Jackson, Tari Eason, Noah Clowney",49800,4.081806763864208
