Lineup,Players,Salary,Score
1,"Aaron Wiggins, Cason Wallace, Isaiah Hartenstein, John Collins, Jordan Clarkson, Jalen Brunson, Russell Westbrook, Kawhi Leonard",44800,4.329033998621115
2,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Cole Anthony, Bobby Portis, Ryan Rollins, Nique Clifford, Mikal Bridges",48500,3.5913575851398436
3,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
4,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
5,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
6,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
7,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
8,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
9,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
10,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
11,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
12,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
13,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
14,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
15,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
16,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
17,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
18,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
19,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
20,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
21,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
22,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
23,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
24,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
25,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
26,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
27,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
28,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
29,"Jalen Brunson, Kawhi Leonard, Isaiah Hartenstein, Aaron Wiggins, Cason Wallace, James Harden, John Collins, Russell Westbrook",49600,4.579309980067335
30,"Ajay Mitchell, OG Anunoby, Giannis Antetokounmpo, Jordan Clarkson, Bobby Portis, Ryan Rollins, Cole Anthony, Nique Clifford",46000,3.464051847649953
