Player,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
AJ Green,0.4696969696969697,0.3333333333333333,0.0,15.5,33.0,7.0,0.45161290322580644,0.36363636363636365,0.8,0.12121212121212122,0.07418811680279667,1,0.5,2.0,1
AJ Johnson,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1
Aaron Wiggins,0.8541666666666666,0.5416666666666666,0.0,20.5,24.0,0.0,0.0,0.625,0.6666666666666666,0.20833333333333334,0.1578244223383742,1,0.2,4.0,1
Ajay Mitchell,0.975,0.7333333333333333,0.0,29.25,30.0,0.0,0.0,0.7666666666666667,0.625,0.4,0.10208568222298844,4,0.4166666666666667,3.0,0
Al Horford,0.6,0.35,0.0,12.0,20.0,1.25,0.10416666666666667,0.45,0.75,0.05,0.0,4,1.0,4.0,0
Alex Caruso,0.6470588235294118,0.17647058823529413,0.0,11.0,17.0,0.0,0.0,0.29411764705882354,0.6,0.0,0.0,0,0.0,3.0,0
Alex Sarr,1.25,0.7307692307692307,0.0,32.5,26.0,10.75,0.33076923076923076,0.5769230769230769,0.25,0.2692307692307692,0.16770999022563127,4,0.5714285714285714,2.0,1
Amir Coffey,0.28846153846153844,0.0,0.0,3.75,13.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0,0.0,2.0,1
Andre Jackson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Andrew Wiggins,1.1,0.8,0.0,38.5,35.0,9.0,0.23376623376623376,0.6285714285714286,0.42857142857142855,0.3142857142857143,0.21303673514413743,3,0.18181818181818182,2.0,1
Anthony Black,1.0403225806451613,0.8064516129032258,0.0,32.25,31.0,0.0,0.0,0.41935483870967744,1.0,0.2903225806451613,0.21473067435819637,1,0.0,3.0,0
Anthony Gill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
