Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4952015262,ckk-244ayk (96/150),0,329.25,C Moussa Diabate F Jaden McDaniels G Luka Doncic PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG AJ Green UTIL Jakob Poeltl,,Tim Hardaway Jr.,UTIL,51.54%,32.75
2,4952820248,ocdobv (8/20),0,329,C Jakob Poeltl F Aaron Gordon G Anthony Edwards PF Naz Reid PG Luka Doncic SF Tim Hardaway Jr. SG Bruce Brown UTIL Moussa Diabate,,Jeremiah Robinson-Earl,PF,37.84%,13
3,4952766969,F0rsaken (30/150),0,328.25,C Moussa Diabate F Jaden McDaniels G Austin Reaves PF Aaron Gordon PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jakob Poeltl,,Anthony Edwards,SG,32.59%,53.5
4,4952277766,cheddabisque (12/150),0,324,C Jakob Poeltl F Julius Randle G Tim Hardaway Jr. PF Aaron Gordon PG Jamal Murray SF Jaden McDaniels SG Anthony Edwards UTIL Jonas Valanciunas,,Ryan Rollins,G,30.69%,18.25
4,4952873195,mykewan (2/5),0,324,C Jonas Valanciunas F Aaron Gordon G Anthony Edwards PF Julius Randle PG Jamal Murray SF Jaden McDaniels SG Tim Hardaway Jr. UTIL Jakob Poeltl,,Austin Reaves,SG,30.54%,47.5
6,4952542983,hixx (128/150),0,323.75,C Moussa Diabate F Julius Randle G Austin Reaves PF Aaron Gordon PG Jamal Shead SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jakob Poeltl,,Bruce Brown,G,30.25%,16.5
7,4952592327,sullybrochill (87/150),0,322.25,C Jakob Poeltl F Aaron Gordon G Luka Doncic PF Naz Reid PG KJ Simpson SF Tim Hardaway Jr. SG Anthony Edwards UTIL Ryan Kalkbrenner,,Kyle Kuzma,SF,30.24%,1.75
8,4952605653,kdaddyg10,0,322,C Jakob Poeltl F Naz Reid G Austin Reaves PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG Bruce Brown UTIL Anthony Edwards,,Andrew Nembhard,PG,28.51%,38
9,4953106751,coreyhut (11/12),0,321.25,C Jonas Valanciunas F Aaron Gordon G Luka Doncic PF Julius Randle PG Jamal Murray SF Tim Hardaway Jr. SG Bruce Brown UTIL Moussa Diabate,,Jakob Poeltl,C,28.38%,38.25
9,4953134856,idlove2win (115/150),0,321.25,C Jakob Poeltl F Aaron Gordon G Austin Reaves PF Jeremiah Robinson-Earl PG Jamal Murray SF Tim Hardaway Jr. SG Anthony Edwards UTIL Moussa Diabate,,Aaron Gordon,F,26.62%,48
11,4953134769,idlove2win (28/150),0,319.75,C Branden Carlson F Naz Reid G Luka Doncic PF Aaron Gordon PG Andrew Nembhard SF Tim Hardaway Jr. SG Austin Reaves UTIL Moussa Diabate,,Jonas Valanciunas,UTIL,26.58%,18.5
12,4952798326,mfriendl,0,319.5,C Moussa Diabate F Dalton Knecht G Austin Reaves PF Aaron Gordon PG Andrew Nembhard SF RJ Barrett SG Anthony Edwards UTIL Tim Hardaway Jr.,,Luka Doncic,G,25.90%,68.25
12,4953143784,atwinger (3/3),0,319.5,C Jonas Valanciunas F Naz Reid G Luka Doncic PF Aaron Gordon PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Dalton Knecht,,Giannis Antetokounmpo,F,25.76%,53.5
14,4952870197,eyeseeyou12 (10/100),0,319,C Moussa Diabate F Naz Reid G Jamal Murray PF Julius Randle PG Austin Reaves SF Tim Hardaway Jr. SG Anthony Edwards UTIL Branden Carlson,,Kon Knueppel,SF,22.87%,20
15,4952766961,F0rsaken (22/150),0,318.25,C Ryan Kalkbrenner F Julius Randle G Anthony Edwards PF Aaron Gordon PG Andrew Nembhard SF Jaden McDaniels SG Tim Hardaway Jr. UTIL Jakob Poeltl,,Julius Randle,PF,21.71%,49
16,4953186105,leftyhook,0,316.75,C Naz Reid F Jaden McDaniels G Jamal Murray PF Aaron Gordon PG Austin Reaves SF Tim Hardaway Jr. SG Bruce Brown UTIL Anthony Edwards,,Naz Reid,F,20.87%,34.5
17,4951830899,bpcologna (31/150),0,316.25,C Sandro Mamukelashvili F Aaron Gordon G Austin Reaves PF Naz Reid PG Jamal Murray SF Jarace Walker SG Tim Hardaway Jr. UTIL Anthony Edwards,,Immanuel Quickley,PG,18.17%,26.25
17,4952661375,nerdytenor (125/150),0,316.25,C Moussa Diabate F Julius Randle G Jamal Murray PF Aaron Gordon PG Immanuel Quickley SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,Tony Bradley,C,17.96%,7.75
19,4951830977,bpcologna (109/150),0,315.75,C Jakob Poeltl F Naz Reid G Anthony Edwards PF Scottie Barnes PG Jamal Murray SF Tim Hardaway Jr. SG Bruce Brown UTIL Aaron Gordon,,Rudy Gobert,UTIL,17.33%,15.5
19,4952901430,zoltar91282 (44/150),0,315.75,C Moussa Diabate F Aaron Gordon G Jamal Murray PF Giannis Antetokounmpo PG KJ Simpson SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,Jamal Murray,G,15.59%,51
21,4952574183,tmoney88 (16/40),0,315.5,C Moussa Diabate F Tim Hardaway Jr. G Luka Doncic PF Aaron Gordon PG Andrew Nembhard SF RJ Barrett SG Bruce Brown UTIL Jakob Poeltl,,Donte DiVincenzo,PG,13.36%,18.25
22,4953134864,idlove2win (123/150),0,315.25,C Branden Carlson F Aaron Gordon G Jamal Murray PF Scottie Barnes PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Moussa Diabate,,Scottie Barnes,PF,13.22%,41.25
